"@timestamp per second","Last value of system_memory_percent","Last value of system_cpu_percent","Unique count of transferID"
"12:34:57","5.2","99.4",9
"12:34:58","6.3",100,22
"12:34:59","6.9","43.4",47
"12:35:00","6.9","8.9",100
"12:35:01","6.9","8.7",100
"12:35:02","6.9","8.6",100
"12:35:03","6.9","8.5",100
"12:35:04","6.9","8.2",100
"12:35:05","7.3","12.3",100
"12:35:06","7.6","28.5",100
"12:35:07","8.4","99.2",100
"12:35:08","9.1",100,117
"12:35:09","10.1",100,130
"12:35:10","10.1",100,144
"12:35:11","10.5","45.9",198
"12:35:12","10.6","18.1",198
"12:35:13","10.6","16.1",198
"12:35:14","10.6","17.7",198
"12:35:15","10.6","17.2",198
"12:35:16","10.9","20.4",198
"12:35:17","11.1","27.7",198
"12:35:18",12,99,206
"12:35:19","12.7","99.8",223
"12:35:20","13.5",100,241
"12:35:21","14.3","78.9",293
"12:35:22","14.3","23.9",297
"12:35:23","14.3","25.8",297
"12:35:24","14.3",23,298
"12:35:25","14.3",26,298
"12:35:26","14.7","27.4",298
"12:35:27","14.7","26.4",297
"12:35:28","15.4","94.9",298
"12:35:29","16.3","99.5",319
"12:35:30","16.9","99.1",336
"12:35:31","17.8",100,348
"12:35:32","18.1","61.1",398
"12:35:33","18.1","33.4",398
"12:35:34",18,"33.6",396
"12:35:35","18.1","33.7",398
"12:35:36","18.4","37.6",398
"12:35:37","18.5","33.3",398
"12:35:38","19.1","91.6",397
"12:35:39","19.9",100,404
"12:35:40","20.8",100,390
"12:35:41",22,80,363
"12:35:42",22,80,372
"12:35:43","21.9","35.4",360
"12:35:44","21.9","43.8",485
"12:35:45","21.9","40.5",475
"12:35:46","22.3","43.9",416
"12:35:47","22.3","41.6",473
"12:35:48","22.3","38.8",424
"12:35:49","22.3","42.1",471
"12:35:50","22.4","42.6",441
"12:35:51","24.2",100,449
"12:35:52","23.6","99.9",381
"12:35:53","25.7","99.4",258
"12:35:54",25,100,460
"12:35:55",25,100,200
"12:35:56","25.7","99.4",360
"12:35:57","25.7","45.3",453
"12:35:58","25.7","44.1",419
"12:35:59","25.7","39.9",470
"12:36:00","25.7","42.3",1
