"@timestamp per second","Last value of system_memory_percent","Last value of system_cpu_percent","Unique count of transferID"
"16:11:00",null,null,null
"16:11:01","6.1","99.2",13
"16:11:02","7.3",100,25
"16:11:03","7.9","42.1",100
"16:11:04","7.9","7.9",100
"16:11:05","7.9","8.2",100
"16:11:06","7.9","8.1",100
"16:11:07","7.9","8.2",100
"16:11:08","7.9","7.8",100
"16:11:09","8.3","12.1",100
"16:11:10","8.7","44.4",100
"16:11:11","9.7","98.5",123
"16:11:12","10.5","99.9",132
"16:11:13","11.5","76.5",170
"16:11:14","11.5","16.2",197
"16:11:15","11.5","17.5",197
"16:11:16","11.5","17.5",197
"16:11:17","11.5","16.1",197
"16:11:18","11.5","17.8",197
"16:11:19","11.9","20.9",197
"16:11:20","12.4","66.5",197
"16:11:21","13.2","99.6",207
"16:11:22","13.9","99.8",227
"16:11:23","14.9","99.9",244
"16:11:24","15.2","46.1",296
"16:11:25","15.2",24,296
"16:11:26","15.2","25.2",297
"16:11:27","15.2","24.1",297
"16:11:28","15.2","24.8",297
"16:11:29","15.6","28.2",296
"16:11:30","15.9","52.6",296
"16:11:31","16.7","99.7",297
"16:11:32","17.5","99.6",317
"16:11:33","18.1","99.7",339
"16:11:34",19,"90.4",347
"16:11:35",19,"39.1",397
"16:11:36",19,"32.6",397
"16:11:37",19,"35.1",397
"16:11:38",19,"32.1",397
"16:11:39","19.4","39.3",396
"16:11:40","19.4","32.6",396
"16:11:41","19.4","32.9",397
"16:11:42","19.4","35.9",397
"16:11:43","19.9","84.3",396
"16:11:44","21.5",100,397
"16:11:45","22.2",100,392
"16:11:46","22.2",100,364
"16:11:47","22.9","93.6",382
"16:11:48","23.3","46.1",285
"16:11:49","23.3","46.1",478
"16:11:50","23.3","46.1",474
"16:11:51","23.3","38.9",441
"16:11:52","23.3","41.8",434
"16:11:53","23.9","93.8",472
"16:11:54","24.6",100,393
"16:11:55","25.3",100,229
"16:11:56","25.3",100,418
"16:11:57","26.1",100,344
"16:11:58","26.8","94.9",274
"16:11:59","26.7","44.3",479
"16:12:00","26.7","44.3",406
"16:12:01","26.7","41.9",451
"16:12:02","26.7","42.4",460
"16:12:03","26.7","41.1",402
"16:12:04","26.7","41.1",504
"16:12:05","26.8","44.3",405
"16:12:06","26.7","38.8",461
"16:12:07","26.8","44.3",452
"16:12:08","26.7","39.8",408
"16:12:09","26.7","43.2",476
"16:12:10","26.7","43.2",414
"16:12:11","26.7","42.3",461
"16:12:12","26.7","39.7",437
"16:12:13","26.7","39.7",424
"16:12:14","26.7","41.6",498
"16:12:15","26.7","41.6",402
"16:12:16","26.8","41.5",421
