@timestamp per second,Count of records,Rabbit queue lenght
13:07:50,0,0
13:07:51,0,0
13:07:52,0,0
13:07:53,0,0
13:07:54,0,0
13:07:55,4000,0
13:07:56,4000,0
13:07:57,4000,0
13:07:58,4000,0
13:07:59,4000,0
13:08:00,4000,0
13:08:01,4000,0
13:08:02,4000,0
13:08:03,4000,0
13:08:04,4000,0
13:08:05,4000,0
13:08:06,4000,0
13:08:07,4000,0
13:08:08,4000,0
13:08:09,4000,0
13:08:10,8000,0
13:08:11,8000,0
13:08:12,8000,0
13:08:13,8000,0
13:08:14,8000,0
13:08:15,8000,0
13:08:16,8000,0
13:08:17,8000,0
13:08:18,8000,0
13:08:19,8000,0
13:08:20,8000,0
13:08:21,8000,0
13:08:22,8000,0
13:08:23,8000,0
13:08:24,8000,0
13:08:25,12000,0
13:08:26,12000,0
13:08:27,12000,0
13:08:28,12000,0
13:08:29,12000,0
13:08:30,12000,0
13:08:31,12000,0
13:08:32,12000,0
13:08:33,12000,0
13:08:34,12000,0
13:08:35,12000,0
13:08:36,12000,0
13:08:37,12000,0
13:08:38,12000,0
13:08:39,12000,0
13:08:40,16000,0
13:08:41,16000,0
13:08:42,16000,0
13:08:43,16000,0
13:08:44,16000,0
13:08:45,16000,0
13:08:46,16000,0
13:08:47,16000,0
13:08:48,16000,0
13:08:49,16000,0
13:08:50,16000,0
13:08:51,16000,0
13:08:52,16000,0
13:08:53,16000,0
13:08:54,16000,0
13:08:55,20000,0
13:08:56,20000,0
13:08:57,20000,0
13:08:58,20000,0
13:08:59,20000,0
13:09:00,20000,0
13:09:01,20000,0
13:09:02,20000,0
13:09:03,20000,0
13:09:04,20000,0
13:09:05,20000,0
13:09:06,20000,0
13:09:07,20000,0
13:09:08,20000,0
13:09:09,20000,0
13:09:10,24000,0
13:09:11,24000,0
13:09:12,24000,0
13:09:13,24000,0
13:09:14,24000,0
13:09:15,24000,0
13:09:16,24000,0
13:09:17,24000,0
13:09:18,24000,0
13:09:19,24000,0
13:09:20,24000,0
13:09:21,24000,0
13:09:22,24000,0
13:09:23,24000,0
13:09:24,24000,0
13:09:25,28000,2
13:09:26,28000,2
13:09:27,28000,2
13:09:28,28000,2
13:09:29,28000,2
