ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
103,0.000,0.000,0.000,0.000,{method 'decode' of 'bytes' objects}
4,0.000,0.000,0.000,0.000,{method 'endswith' of 'bytes' objects}
1937,0.001,0.000,0.001,0.000,{method 'find' of 'bytes' objects}
55832,0.003,0.000,0.003,0.000,{method 'isdigit' of 'bytes' objects}
2,0.000,0.000,0.000,0.000,{method 'ljust' of 'bytes' objects}
51962,0.017,0.000,0.017,0.000,{method 'rfind' of 'bytes' objects}
109,0.000,0.000,0.000,0.000,{method 'rstrip' of 'bytes' objects}
52871,0.053,0.000,0.053,0.000,{method 'split' of 'bytes' objects}
4,0.000,0.000,0.000,0.000,{method 'startswith' of 'bytes' objects}
4,0.000,0.000,0.000,0.000,{method 'translate' of 'bytes' objects}
52649,0.004,0.000,0.004,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'insert' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'extend' of 'list' objects}
917,0.000,0.000,0.000,0.000,{method 'pop' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
110,0.000,0.000,0.000,0.000,{method 'count' of 'list' objects}
1457,0.000,0.000,0.000,0.000,{method 'get' of 'dict' objects}
624,0.000,0.000,0.000,0.000,{method 'keys' of 'dict' objects}
110,0.000,0.000,0.000,0.000,{method 'items' of 'dict' objects}
911,0.002,0.000,0.002,0.000,{method 'update' of 'dict' objects}
911,0.001,0.000,0.001,0.000,{method 'copy' of 'dict' objects}
1039,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
9,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
2040,0.001,0.000,0.001,0.000,{built-in method __new__ of type object at 0x922420}
4,0.000,0.000,0.000,0.000,{method 'mro' of 'type' objects}
522,0.000,0.000,0.000,0.000,{method 'encode' of 'str' objects}
3381,0.005,0.000,0.005,0.000,{method 'split' of 'str' objects}
102,0.000,0.000,0.000,0.000,{method 'join' of 'str' objects}
210,0.000,0.000,0.000,0.000,{method 'count' of 'str' objects}
705,0.000,0.000,0.000,0.000,{method 'find' of 'str' objects}
4,0.000,0.000,0.000,0.000,{method 'lower' of 'str' objects}
102,0.000,0.000,0.000,0.000,{method 'rfind' of 'str' objects}
9120,0.001,0.000,0.001,0.000,{method 'strip' of 'str' objects}
416,0.000,0.000,0.000,0.000,{method 'startswith' of 'str' objects}
5,0.000,0.000,0.000,0.000,{method 'isidentifier' of 'str' objects}
1474,0.003,0.000,0.003,0.000,{method 'format' of 'str' objects}
3,0.000,0.000,0.000,0.000,{built-in method _warnings._filters_mutated}
110,0.000,0.000,0.000,0.000,{built-in method sys.audit}
110,0.000,0.000,0.000,0.000,{built-in method sys.exc_info}
102,0.047,0.000,0.047,0.000,{built-in method posix.listdir}
2,0.000,0.000,0.000,0.000,{built-in method posix.getpid}
110,0.004,0.000,0.004,0.000,{built-in method posix.waitpid}
330,0.001,0.000,0.001,0.000,{built-in method posix.close}
1938,0.210,0.000,0.210,0.000,{built-in method posix.read}
914,0.002,0.000,0.002,0.000,{built-in method posix.write}
220,0.001,0.000,0.001,0.000,{built-in method posix.pipe}
110,0.000,0.000,0.000,0.000,{built-in method posix.WIFSIGNALED}
110,0.000,0.000,0.000,0.000,{built-in method posix.WIFEXITED}
110,0.000,0.000,0.000,0.000,{built-in method posix.WEXITSTATUS}
1019,0.003,0.000,0.003,0.000,{built-in method posix.sysconf}
1,0.000,0.000,0.000,0.000,{built-in method posix.urandom}
228,0.000,0.000,0.000,0.000,{built-in method posix.fspath}
6,0.000,0.000,0.000,0.000,{built-in method _sre.compile}
204,0.000,0.000,0.000,0.000,{method 'end' of 're.Match' objects}
102,0.000,0.000,0.000,0.000,{method 'groupdict' of 're.Match' objects}
204,0.000,0.000,0.000,0.000,{method 'match' of 're.Pattern' objects}
9167,0.005,0.000,0.005,0.000,{method 'search' of 're.Pattern' objects}
110,0.001,0.000,0.001,0.000,{built-in method _codecs.utf_8_decode}
120,0.000,0.000,0.000,0.000,{method 'append' of 'collections.deque' objects}
110,0.000,0.000,0.000,0.000,{method 'pop' of 'collections.deque' objects}
1,0.000,0.000,0.000,0.000,{built-in method _abc._abc_instancecheck}
1,0.000,0.000,0.000,0.000,{built-in method _abc._abc_subclasscheck}
108,101.230,0.937,101.230,0.937,{built-in method time.sleep}
1019,0.000,0.000,0.000,0.000,{built-in method time.monotonic}
10,0.001,0.000,0.001,0.000,{built-in method _thread.start_new_thread}
130,0.000,0.000,0.000,0.000,{built-in method _thread.allocate_lock}
12,0.000,0.000,0.000,0.000,{built-in method _thread.get_ident}
40,0.001,0.000,0.001,0.000,{method 'acquire' of '_thread.lock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.lock' objects}
10,0.000,0.000,0.000,0.000,{method '__enter__' of '_thread.lock' objects}
10,0.000,0.000,0.000,0.000,{method '__exit__' of '_thread.lock' objects}
110,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
52982,0.270,0.000,0.270,0.000,{built-in method io.open}
1828,0.000,0.000,0.000,0.000,{method 'write' of '_io.BytesIO' objects}
1822,0.000,0.000,0.000,0.000,{method 'getbuffer' of '_io.BytesIO' objects}
917,0.000,0.000,0.000,0.000,{method 'getvalue' of '_io.BytesIO' objects}
51852,0.213,0.000,0.213,0.000,{method 'read' of '_io.BufferedReader' objects}
1019,0.002,0.000,0.002,0.000,{method 'readline' of '_io.BufferedReader' objects}
110,0.551,0.005,0.552,0.005,{method 'read' of '_io.TextIOWrapper' objects}
110,0.002,0.000,0.002,0.000,{method 'close' of '_io.TextIOWrapper' objects}
4,0.000,0.000,0.000,0.000,{method 'find' of 'bytearray' objects}
102,0.000,0.000,0.000,0.000,{built-in method builtins.abs}
2,0.000,0.000,0.000,0.000,{built-in method builtins.callable}
111,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
111,0.001,0.000,0.001,0.000,{built-in method builtins.hasattr}
10382,0.003,0.000,0.003,0.000,{built-in method builtins.isinstance}
15486/15472,0.002,0.000,0.002,0.000,{built-in method builtins.len}
34,0.000,0.000,0.000,0.000,{built-in method builtins.min}
44,0.000,0.000,0.000,0.000,{built-in method builtins.ord}
1,0.000,0.000,0.000,0.000,{built-in method builtins.print}
202,0.001,0.000,0.001,0.000,{built-in method builtins.round}
110,0.000,0.000,0.000,0.000,{built-in method builtins.sorted}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
109,0.000,0.000,0.001,0.000,/usr/local/lib/python3.8/multiprocessing/synchronize.py:229(__enter__)
109,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/synchronize.py:232(__exit__)
109,0.001,0.000,0.003,0.000,/usr/local/lib/python3.8/multiprocessing/synchronize.py:327(is_set)
4,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/hmac.py:56(<lambda>)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/hmac.py:33(__init__)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/hmac.py:94(update)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/hmac.py:111(_current)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/hmac.py:120(digest)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/hmac.py:136(new)
606,0.000,0.000,0.021,0.000,<string>:1(__getitem__)
102,0.000,0.000,0.021,0.000,<string>:1(get)
202,0.000,0.000,0.014,0.000,<string>:1(keys)
109,0.000,0.000,0.001,0.000,/usr/local/lib/python3.8/multiprocessing/synchronize.py:94(__enter__)
109,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/synchronize.py:97(__exit__)
109,0.000,0.000,0.000,0.000,{method 'acquire' of '_multiprocessing.SemLock' objects}
1,0.000,0.000,0.000,0.000,{method 'release' of '_multiprocessing.SemLock' objects}
109,0.000,0.000,0.000,0.000,{method '__enter__' of '_multiprocessing.SemLock' objects}
109,0.000,0.000,0.000,0.000,{method '__exit__' of '_multiprocessing.SemLock' objects}
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:83(_validate_family)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:117(__init__)
1828,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:134(_check_closed)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:95(address_type)
