@timestamp per second,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io
12:09:21 PM,0,402653184,0,402653184,0,1347060224,
12:09:22 PM,0,398458880,0,390070272,0,1309390464,504315904
12:09:23 PM,0,398458880,0,415236096,0,1305209216,503320576
12:09:24 PM,0,398458880,0,381681664,0,1302066304,504635392
12:09:25 PM,0,394264576,0,398458880,0,1311873536,505159680
12:09:26 PM,0,394264576,0,385875968,0,1304322048,503390208
12:09:27 PM,0,0,0,415236096,0,1319215104,497590272
12:09:28 PM,0,398458880,0,377487360,0,1298958336,509181952
12:09:29 PM,0,398458880,0,390070272,0,1297739520,504115200
12:09:30 PM,0,398458880,0,394264576,0,1307937024,499773440
12:09:31 PM,0,394264576,0,419430400,0,1383727104,503537664
12:09:32 PM,0,415236096,0,423624704,0,1463681024,501514240
12:09:33 PM,0,432013312,0,452984832,0,1682833408,509194240
12:09:34 PM,0,444596224,0,478150656,0,1737076224,503742464
12:09:35 PM,0,482344960,0,469762048,0,1494583552,497061888
12:09:36 PM,0,469762048,0,390070272,0,1852408704,514187264
12:09:37 PM,0,398458880,0,394264576,0,1775060352,503992320
12:09:38 PM,0,398458880,0,394264576,0,1716716544,482586624
12:09:39 PM,0,394264576,0,394264576,0,1660984960,381632512
12:09:40 PM,0,394264576,0,394264576,0,1585446912,406310912
12:09:41 PM,0,402653184,0,406847488,0,1230766080,394805248
12:09:42 PM,0,390070272,0,394264576,0,1183580160,390074368
12:09:43 PM,0,402653184,0,394264576,0,1199964160,390078464
12:09:44 PM,0,394264576,0,0,0,1191706624,390070272
12:09:45 PM,0,398458880,0,385875968,0,1190264832,396087296
12:09:46 PM,0,398458880,0,394264576,0,1200226304,396636160
12:09:47 PM,0,402653184,0,394264576,0,1197998080,389009408
12:09:48 PM,0,394264576,0,402653184,0,1189085184,391131136
12:09:49 PM,0,402653184,0,394264576,0,1194852352,392241152
12:09:50 PM,0,394264576,0,406847488,0,1196425216,387899392
12:09:51 PM,0,398458880,0,377487360,0,1186332672,398458880
12:09:52 PM,0,398458880,0,402653184,0,1195245568,394264576
12:09:53 PM,0,402653184,0,394264576,0,1197211648,390078464
12:09:54 PM,0,394268672,0,385880064,0,1197604864,391364608
12:09:55 PM,0,394264576,0,398458880,0,1182793728,386924544
12:09:56 PM,0,398458880,0,402653184,0,1199439872,401866752
12:09:57 PM,0,398458880,0,394264576,0,1189871616,389808128
12:09:58 PM,0,398458880,0,394264576,0,0,392974336
12:09:59 PM,0,398458880,0,402653184,0,1195900928,391364608
12:10:00 PM,0,390070272,0,377487360,0,1196425216,393740288
12:10:01 PM,0,402653184,0,411041792,0,1185677312,389300224
12:10:02 PM,0,398458880,0,377487360,0,1194459136,394510336
12:10:03 PM,0,394264576,0,394264576,0,1193803776,390627328
12:10:04 PM,0,398458880,0,419430400,0,1187250176,397377536
12:10:05 PM,0,394264576,0,385875968,0,1200357376,386138112
12:10:06 PM,0,402653184,0,394264576,0,1189740544,397279232
12:10:07 PM,0,398458880,0,402653184,0,1195507712,394428416
12:10:08 PM,0,398458880,0,377487360,0,1195638784,383877120
12:10:09 PM,0,394264576,0,411041792,0,1194459136,397295616
12:10:10 PM,0,398458880,0,394264576,0,1180434432,390840320
12:10:11 PM,0,398458880,0,394264576,0,1196818432,395841536
12:10:12 PM,0,398458880,0,394264576,0,1200619520,389414912
12:10:13 PM,0,394264576,0,394264576,0,1191051264,392589312
12:10:14 PM,,402653184,0,398458880,0,1201143808,391659520
12:10:15 PM,0,398458880,0,385875968,0,1187643392,392261632
12:10:16 PM,0,398458880,0,402653184,0,1209532416,398471168
12:10:17 PM,0,398458880,0,394264576,0,1588461568,392302592
12:10:18 PM,0,398458880,0,385875968,0,1441660928,394264576
12:10:19 PM,0,390070272,0,402653184,0,1190920192,392019968
12:10:20 PM,0,402653184,0,402653184,0,1198784512,392314880
12:10:21 PM,0,394264576,0,385875968,0,1186463744,392675328
12:10:22 PM,0,402653184,0,398458880,0,1201143808,391659520
12:10:23 PM,0,394264576,0,402653184,0,1192624128,394510336
12:10:24 PM,0,402653184,0,394264576,0,1196163072,392167424
12:10:25 PM,0,398458880,0,377487360,0,1194852352,393740288
12:10:26 PM,0,394264576,0,398458880,0,1195507712,392445952
12:10:27 PM,0,394264576,0,394264576,0,1184497664,385875968
12:10:28 PM,0,398458880,0,411041792,0,1191444480,390070272
12:10:29 PM,0,398458880,0,377487360,0,1188691968,398458880
12:10:30 PM,0,398458880,0,411041792,0,1424228352,388087808
12:10:31 PM,0,394264576,0,385875968,0,1340211200,399900672
12:10:32 PM,0,398458880,0,402653184,0,1457782784,390610944
12:10:33 PM,0,402653184,0,381681664,0,1726087168,393461760
12:10:34 PM,0,394264576,0,394264576,0,1699741696,392040448
12:10:35 PM,0,398458880,0,406847488,0,1589903360,392298496
12:10:36 PM,0,398458880,0,398458880,0,1984167936,390848512
12:10:37 PM,0,390070272,0,385875968,0,1839202304,389554176
12:10:38 PM,0,398458880,0,394264576,0,1588461568,398974976
12:10:39 PM,0,394264576,0,411041792,0,1610481664,386277376
12:10:40 PM,0,402653184,0,377487360,0,1583087616,398057472
12:10:41 PM,0,398458880,0,406847488,0,1447428096,385884160
