@timestamp per second,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
12:09:21 PM,,,,,,,,0,402653184,0,402653184,0,1347060224,,3.7666015625
12:09:22 PM,511705088,0,507510784,0,498204672,0,0,0,398458880,0,390070272,0,1309390464,504315904,3.76117932796478
12:09:23 PM,515899392,0,507510784,0,516292608,0,13,0,398458880,0,415236096,0,1305209216,503320576,3.74028831720352
12:09:24 PM,511705088,0,507510784,0,511967232,0,0,0,398458880,0,381681664,0,1302066304,504635392,3.75548177957535
12:09:25 PM,511705088,0,507510784,0,511705088,0,0,0,394264576,0,398458880,0,1311873536,505159680,3.7541276216507
12:09:26 PM,511705088,0,511705088,0,511836160,0,52,0,394264576,0,385875968,0,1304322048,503390208,3.7463310956955
12:09:27 PM,511705088,0,507510784,0,511574016,0,0,0,0,0,415236096,0,1319215104,497590272,3.74826264381409
12:09:28 PM,511705088,0,507510784,0,514850816,0,0,0,398458880,0,377487360,0,1298958336,509181952,3.74466407299042
12:09:29 PM,511705088,0,503316480,0,508559360,0,0,0,398458880,0,390070272,0,1297739520,504115200,3.7492448091507
12:09:30 PM,511705088,0,507510784,0,515899392,0,0,0,398458880,0,394264576,0,1307937024,499773440,3.75005394220352
12:09:31 PM,511705088,0,507510784,0,507510784,0,0,0,394264576,0,419430400,0,1383727104,503537664,3.74603980779648
12:09:32 PM,511705088,0,507510784,0,515899392,0,0,0,415236096,0,423624704,0,1463681024,501514240,3.75
12:09:33 PM,511705088,0,0,0,507510784,0,0,0,432013312,0,452984832,0,1682833408,509194240,3.75390625
12:09:34 PM,515899392,0,507510784,0,515637248,0,0,0,444596224,0,478150656,0,1737076224,503742464,3.77451115846634
12:09:35 PM,511705088,0,511705088,0,516030464,0,0,0,482344960,0,469762048,0,1494583552,497061888,3.75200706720352
12:09:36 PM,515899392,0,507510784,0,511836160,0,0,0,469762048,0,390070272,0,1852408704,514187264,3.7849133014679
12:09:37 PM,515899392,0,507510784,0,508952576,0,0,0,398458880,0,394264576,0,1775060352,503992320,3.74822509288788
12:09:38 PM,511705088,0,511705088,0,521404416,0,0,0,398458880,0,394264576,0,1716716544,482586624,3.75744009017944
12:09:39 PM,515899392,0,507510784,0,513146880,0,0,0,394264576,0,394264576,0,1660984960,381632512,3.11338913440704
12:09:40 PM,406847488,0,507510784,0,478281728,0,0,0,394264576,0,394264576,0,1585446912,406310912,2.939453125
12:09:41 PM,0,0,394264576,0,398458880,0,0,0,402653184,0,406847488,0,1230766080,394805248,2.9658203125
12:09:42 PM,406847488,0,402653184,0,406061056,0,0,0,390070272,0,394264576,0,1183580160,390074368,2.94921875
12:09:43 PM,390070272,0,385875968,0,390856704,0,0,0,402653184,0,394264576,0,1199964160,390078464,2.908203125
12:09:44 PM,406847488,0,402653184,0,403570688,0,0,0,394264576,0,0,0,1191706624,390070272,2.919921875
12:09:45 PM,390070272,0,385875968,0,392298496,0,0,0,398458880,0,385875968,0,1190264832,396087296,2.923828125
12:09:46 PM,398458880,0,394264576,0,399376384,0,0,0,398458880,0,394264576,0,1200226304,396636160,2.9248046875
12:09:47 PM,398458880,0,398458880,0,402653184,0,0,0,402653184,0,394264576,0,1197998080,389009408,2.904296875
12:09:48 PM,406847488,0,398458880,0,400424960,0,0,0,394264576,0,402653184,0,1189085184,391131136,2.9609375
12:09:49 PM,394264576,0,394264576,0,396754944,0,0,0,402653184,0,394264576,0,1194852352,392241152,2.90625
12:09:50 PM,411041792,0,402653184,0,406585344,0,0,0,394264576,0,406847488,0,1196425216,387899392,2.9375
12:09:51 PM,394264576,0,390070272,0,398327808,0,0,0,398458880,0,377487360,0,1186332672,398458880,2.9296875
12:09:52 PM,398458880,0,390070272,0,398589952,0,0,0,398458880,0,402653184,0,1195245568,394264576,2.912109375
12:09:53 PM,402653184,0,402653184,0,398589952,0,0,0,402653184,0,394264576,0,1197211648,390078464,2.90625
12:09:54 PM,398458880,0,394264576,0,402522112,0,0,0,394268672,0,385880064,0,1197604864,391364608,2.875
12:09:55 PM,394264576,0,394264576,0,396492800,0,0,0,394264576,0,398458880,0,1182793728,386924544,2.96875
12:09:56 PM,402653184,0,390070272,0,399245312,0,0,0,398458880,0,402653184,0,1199439872,401866752,2.91796875
12:09:57 PM,398458880,0,398458880,0,395444224,0,0,0,398458880,0,394264576,0,1189871616,389808128,2.919921875
12:09:58 PM,398458880,0,394264576,0,402653184,0,0,0,398458880,0,394264576,0,0,392974336,2.939453125
12:09:59 PM,398458880,0,394264576,0,402391040,0,0,0,398458880,0,402653184,0,1195900928,391364608,2.89453125
12:10:00 PM,398458880,0,398458880,0,394526720,0,0,0,390070272,0,377487360,0,1196425216,393740288,2.9150390625
12:10:01 PM,402653184,0,390070272,0,397672448,0,0,0,402653184,0,411041792,0,1185677312,389300224,2.953125
12:10:02 PM,398458880,0,398458880,0,402784256,0,0,0,398458880,0,377487360,0,1194459136,394510336,2.90234375
12:10:03 PM,398458880,0,394264576,0,399114240,0,0,0,394264576,0,394264576,0,1193803776,390627328,2.9150390625
12:10:04 PM,398458880,0,398458880,0,396754944,0,0,0,398458880,0,419430400,0,1187250176,397377536,2.927734375
12:10:05 PM,398458880,0,398458880,0,400556032,0,0,0,394264576,0,385875968,0,1200357376,386138112,2.8876953125
12:10:06 PM,394264576,0,390070272,0,393871360,0,0,0,402653184,0,394264576,0,1189740544,397279232,2.9619140625
12:10:07 PM,406847488,0,394264576,0,402522112,0,0,0,398458880,0,402653184,0,1195507712,394428416,2.9091796875
12:10:08 PM,402653184,0,394264576,0,398721024,0,0,0,398458880,0,377487360,0,1195638784,383877120,2.931640625
12:10:09 PM,394264576,0,398458880,0,402653184,0,0,0,394264576,0,411041792,0,1194459136,397295616,2.9140625
12:10:10 PM,398458880,0,390070272,0,398458880,0,0,0,398458880,0,394264576,0,1180434432,390840320,2.931640625
12:10:11 PM,402653184,0,398458880,0,396361728,0,0,0,398458880,0,394264576,0,1196818432,395841536,2.9375
12:10:12 PM,394264576,0,390070272,0,399900672,0,0,0,398458880,0,394264576,0,1200619520,389414912,2.9111328125
12:10:13 PM,394264576,0,402653184,0,398721024,0,0,0,394264576,0,394264576,0,1191051264,392589312,2.912109375
12:10:14 PM,411041792,0,390070272,0,404881408,0,0,,402653184,0,398458880,0,1201143808,391659520,2.8974609375
12:10:15 PM,394264576,0,394264576,0,400162816,0,0,0,398458880,0,385875968,0,1187643392,392261632,2.9541015625
12:10:16 PM,402653184,0,398458880,0,398458880,0,0,0,398458880,0,402653184,0,1209532416,398471168,2.9140625
12:10:17 PM,402653184,0,394264576,0,403308544,0,0,0,398458880,0,394264576,0,1588461568,392302592,2.9228515625
12:10:18 PM,394264576,0,394264576,0,394002432,0,0,0,398458880,0,385875968,0,1441660928,394264576,2.8798828125
12:10:19 PM,402653184,0,390070272,0,401866752,0,0,0,390070272,0,402653184,0,1190920192,392019968,2.9423828125
12:10:20 PM,394264576,0,402653184,0,396099584,0,0,0,402653184,0,402653184,0,1198784512,392314880,2.9111328125
12:10:21 PM,402653184,0,394264576,0,403177472,0,0,0,394264576,0,385875968,0,1186463744,392675328,2.923828125
12:10:22 PM,398458880,0,398458880,0,400556032,0,0,0,402653184,0,398458880,0,1201143808,391659520,2.9716796875
12:10:23 PM,406847488,0,390070272,0,399114240,0,0,0,394264576,0,402653184,0,1192624128,394510336,2.9072265625
12:10:24 PM,398458880,0,398458880,0,399114240,0,0,0,402653184,0,394264576,0,1196163072,392167424,2.9033203125
12:10:25 PM,390070272,0,398458880,0,400162816,0,0,0,398458880,0,377487360,0,1194852352,393740288,2.9306640625
12:10:26 PM,402653184,0,390070272,0,396623872,0,0,0,394264576,0,398458880,0,1195507712,392445952,2.908203125
12:10:27 PM,398458880,0,394264576,0,400162816,0,0,0,394264576,0,394264576,0,1184497664,385875968,2.9404296875
12:10:28 PM,406847488,0,394264576,0,397148160,0,0,0,398458880,0,411041792,0,1191444480,390070272,2.90234375
12:10:29 PM,394264576,0,402653184,0,402391040,0,0,0,398458880,0,377487360,0,1188691968,398458880,2.94140625
12:10:30 PM,402653184,0,390070272,0,397803520,0,0,0,398458880,0,411041792,0,1424228352,388087808,2.931640625
12:10:31 PM,394264576,0,394264576,0,397017088,0,0,0,394264576,0,385875968,0,1340211200,399900672,2.90625
12:10:32 PM,402653184,0,390070272,0,404357120,0,0,0,398458880,0,402653184,0,1457782784,390610944,2.9375
12:10:33 PM,394264576,0,398458880,0,398721024,0,0,0,402653184,0,381681664,0,1726087168,393461760,2.90625
12:10:34 PM,406847488,0,398458880,0,400031744,0,0,0,394264576,0,394264576,0,1699741696,392040448,2.9169921875
12:10:35 PM,394264576,0,394264576,0,397672448,0,0,0,398458880,0,406847488,0,1589903360,392298496,2.9267578125
12:10:36 PM,402653184,0,398458880,0,399507456,0,0,0,398458880,0,398458880,0,1984167936,390848512,2.869140625
12:10:37 PM,398458880,0,390070272,0,401735680,0,0,0,390070272,0,385875968,0,1839202304,389554176,2.9521484375
12:10:38 PM,402653184,0,390070272,0,397803520,0,0,0,398458880,0,394264576,0,1588461568,398974976,2.8603515625
12:10:39 PM,0,0,398458880,0,401211392,0,0,0,394264576,0,411041792,0,1610481664,386277376,2.984375
12:10:40 PM,394264576,0,398458880,0,394919936,0,0,0,402653184,0,377487360,0,1583087616,398057472,2.939453125
12:10:41 PM,402653184,0,390070272,0,403046400,0,0,0,398458880,0,406847488,0,1447428096,385884160,2.9228515625
12:10:42 PM,394264576,0,402653184,0,398327808,0,0,0,398458880,0,402653184,0,1200488448,398454784,2.9248046875
12:10:43 PM,402653184,0,394264576,0,400687104,0,0,0,394264576,0,394264576,0,1182138368,390070272,2.90625
12:10:44 PM,402653184,0,394264576,0,392298496,0,0,0,402653184,0,394264576,0,1195769856,392187904,2.8974609375
12:10:45 PM,398458880,0,381681664,0,406978560,0,0,0,394264576,0,394264576,0,1196949504,392167424,2.9736328125
12:10:46 PM,402653184,0,406847488,0,398065664,0,0,0,0,0,385875968,0,1194721280,395575296,2.90625
12:10:47 PM,390070272,0,398458880,0,398852096,0,0,0,402653184,0,402653184,0,1198129152,388751360,2.908203125
12:10:48 PM,402653184,0,394264576,0,399507456,0,0,0,394264576,0,402653184,0,1188298752,394264576,2.9345703125
12:10:49 PM,402653184,0,390070272,0,401080320,0,0,0,398458880,0,377487360,0,1194983424,394141696,2.9365234375
12:10:50 PM,398458880,0,398458880,0,397934592,0,0,0,398458880,0,402653184,0,1193803776,391643136,2.890625
12:10:51 PM,394264576,0,398458880,0,399507456,0,0,0,394264576,0,394264576,0,1189740544,388644864,2.9462890625
12:10:52 PM,402653184,0,390070272,0,399769600,0,0,0,398458880,0,394264576,0,1194983424,394264576,2.912109375
12:10:53 PM,398458880,0,398458880,0,399507456,0,0,0,398458880,0,394264576,0,1187512320,394264576,2.9345703125
12:10:54 PM,402653184,0,398458880,0,400424960,0,0,0,394264576,0,394264576,0,1194590208,392261632,2.9072265625
12:10:55 PM,402653184,0,390070272,0,395575296,0,0,0,398458880,0,402653184,0,1191182336,387854336,2.93359375
12:10:56 PM,394264576,0,398458880,0,401211392,0,0,0,394264576,0,385875968,0,1191837696,392306688,2.890625
12:10:57 PM,398458880,0,390070272,0,397410304,0,0,0,402653184,0,398458880,0,1192230912,395182080,2.927734375
12:10:58 PM,398458880,0,398458880,0,399507456,0,0,0,394264576,0,402653184,0,1196294144,393478144,2.9208984375
12:10:59 PM,402653184,0,394264576,0,394264576,0,0,0,402653184,0,377487360,0,1195376640,393740288,2.939453125
12:11:00 PM,394264576,0,398458880,0,402653184,0,0,0,394264576,0,411041792,0,1188429824,392421376,2.8642578125
12:11:01 PM,398458880,0,390070272,0,399376384,0,358,0,394264576,0,385875968,0,1191706624,386609152,2.9106770157814
12:11:02 PM,398458880,0,398458880,0,397934592,0,0,0,394264576,0,406847488,0,1181683968,393531392,2.939453125
12:11:03 PM,402653184,0,394264576,0,403701760,0,0,0,398458880,0,377487360,0,1193410560,394264576,2.953125
12:11:04 PM,398458880,0,398458880,0,396230656,0,0,0,398458880,0,402653184,0,1200095232,394080256,2.8916015625
12:11:05 PM,402653184,0,390070272,0,402915328,0,0,0,394264576,0,411041792,0,1182400512,386060288,2.96875
12:11:06 PM,394264576,0,394264576,0,398196736,0,0,0,398458880,0,377487360,0,1201012736,397852672,2.890625
12:11:07 PM,402653184,0,402653184,0,0,0,0,0,402653184,0,402653184,0,1193279488,394870784,2.951171875
12:11:08 PM,398458880,0,394264576,0,400687104,0,0,0,398458880,0,394264576,0,1194328064,391327744,2.90625
12:11:09 PM,402653184,0,394264576,0,397410304,0,0,0,394264576,0,394264576,0,1191968768,390598656,2.9375
12:11:10 PM,398458880,0,398458880,0,403177472,0,0,0,402653184,0,394264576,0,1197342720,396099584,2.921875
12:11:11 PM,402653184,0,390070272,0,398196736,0,0,0,394264576,0,394264576,0,1189085184,390672384,2.8896484375
12:11:12 PM,394264576,0,398458880,0,397803520,0,0,0,398458880,0,394264576,0,1185021952,394190848,2.9482421875
12:11:13 PM,398458880,0,394264576,0,397279232,0,0,0,398458880,0,394264576,0,1185021952,391254016,2.8935546875
12:11:14 PM,394264576,0,394264576,0,400556032,0,0,0,390070272,0,411041792,0,1197211648,390340608,2.9453125
12:11:15 PM,402653184,0,390070272,0,394919936,0,0,0,398458880,0,394264576,0,1577844736,392900608,2.9287109375
12:11:16 PM,402653184,0,402653184,0,401080320,0,0,0,402653184,0,381681664,0,1317797888,395104256,2.927734375
12:11:17 PM,398458880,0,394264576,0,402653184,0,0,0,394264576,0,394264576,0,1192755200,392167424,2.9140625
12:11:18 PM,402653184,0,394264576,0,402259968,0,0,0,402653184,0,394264576,0,1191444480,392560640,2.923828125
12:11:19 PM,398458880,0,394264576,0,399900672,0,0,0,398458880,0,402653184,0,1201012736,392695808,2.9189453125
12:11:20 PM,394264576,0,394264576,0,396099584,0,0,0,398458880,0,390070272,0,1199702016,390856704,2.921875
12:11:21 PM,406847488,0,398458880,0,401211392,0,0,0,394264576,0,394264576,0,1185415168,393818112,2.9208984375
12:11:22 PM,398458880,0,394264576,0,402259968,0,0,0,398458880,0,394264576,0,1196163072,390778880,2.919921875
12:11:23 PM,398458880,0,398458880,0,397410304,0,0,0,398458880,0,398458880,0,1192230912,393555968,2.9189453125
12:11:24 PM,394264576,0,385875968,0,399507456,0,0,0,394264576,0,381681664,0,1194590208,385875968,2.91904509067535
12:11:25 PM,406847488,0,402653184,0,394526720,0,0,0,398458880,0,411041792,0,1189478400,390135808,2.90234375
12:11:26 PM,398458880,0,390070272,0,402915328,0,495,0,394264576,0,394264576,0,1197487232,400130048,2.9306640625
12:11:27 PM,394264576,0,398458880,0,399769600,0,0,0,394264576,0,385875968,0,1179648000,390234112,2.9013671875
12:11:28 PM,402653184,0,394264576,0,399114240,0,0,0,398458880,0,398458880,0,1337196544,395669504,2.955078125
12:11:29 PM,402653184,0,394264576,0,400687104,0,0,0,402653184,0,402653184,0,1797259264,391159808,2.9189453125
12:11:30 PM,398458880,0,394264576,0,400687104,0,0,0,394264576,0,394264576,0,1559756800,389021696,2.9130859375
12:11:31 PM,360710144,0,385875968,0,398327808,0,0,0,394264576,0,402653184,0,1898840064,394264576,2.19877642393112
12:11:32 PM,339738624,0,297795584,0,400556032,0,0,0,394264576,0,390070272,0,1801715712,334827520,3.53917038440704
12:11:33 PM,494927872,0,503316480,0,346292224,0,0,0,402653184,0,394264576,0,1648171008,451698688,3.01177269220352
12:11:34 PM,402653184,0,394264576,0,451411968,0,0,0,394264576,0,394264576,0,1684821248,392925184,2.9326171875
12:11:35 PM,398458880,0,394264576,0,401604608,0,0,0,398458880,0,385875968,0,1604452352,390070272,2.931640625
12:11:36 PM,402653184,0,398458880,0,398589952,0,0,0,402653184,0,402653184,0,1194852352,394289152,2.908203125
12:11:37 PM,0,0,390070272,0,399900672,0,0,0,394264576,0,381681664,0,1194196992,390070272,2.9189453125
12:11:38 PM,394264576,0,398458880,0,395575296,0,0,0,394264576,0,411041792,0,1580466176,394264576,2.9296875
12:11:39 PM,402653184,0,394264576,0,402522112,0,0,0,398458880,0,398458880,0,1590689792,392826880,2.900390625
12:11:40 PM,394264576,0,394264576,0,399900672,0,0,0,398458880,0,381681664,0,1591738368,391507968,2.93359375
12:11:41 PM,402653184,0,390070272,0,398589952,0,0,0,398458880,0,394264576,0,1580859392,390070272,2.91015625
12:11:42 PM,402653184,0,398458880,0,390070272,0,0,0,398458880,0,394264576,0,1293942784,395714560,2.8388671875
12:11:43 PM,402653184,0,390070272,0,411172864,0,0,0,390070272,0,411041792,0,1191444480,380243968,3
12:11:44 PM,394264576,0,398458880,0,396886016,0,0,0,398458880,0,385875968,0,1192230912,402661376,2.9375
12:11:45 PM,398458880,0,402653184,0,399638528,0,0,0,402653184,0,394264576,0,1191837696,391909376,2.9296875
12:11:46 PM,398458880,0,385875968,0,397410304,0,0,0,402653184,0,398458880,0,1201143808,387973120,2.91015625
12:11:47 PM,402653184,0,398458880,0,394133504,0,0,0,398458880,0,402653184,0,1208745984,393609216,2.9091796875
12:11:48 PM,398458880,0,398458880,0,402653184,0,0,0,398458880,0,377487360,0,1191444480,394657792,2.9375
12:11:49 PM,398458880,0,394264576,0,402653184,0,0,0,394264576,0,402653184,0,1194328064,396623872,2.9375
12:11:50 PM,398458880,0,390070272,0,401997824,0,0,0,394264576,0,402653184,0,1190002688,386138112,2.90625
12:11:51 PM,398458880,0,398458880,0,396361728,0,0,0,398458880,0,385875968,0,1195900928,392163328,2.888671875
12:11:52 PM,394264576,0,385875968,0,392822784,0,0,0,398458880,0,402653184,0,1191051264,390070272,2.91638243198395
12:11:53 PM,402653184,0,402653184,0,392822784,0,0,0,398458880,0,381681664,0,1193410560,398458880,2.9638671875
12:11:54 PM,406847488,0,398458880,0,402653184,0,0,0,402653184,0,406847488,0,1185726592,396021760,2.8837890625
12:11:55 PM,390070272,0,390070272,0,404881408,0,0,0,390070272,0,381681664,0,1200881664,385630208,2.96886867284775
12:11:56 PM,402653184,0,390070272,0,393609216,0,6,0,398458880,0,398458880,0,1188691968,390070272,2.919921875
12:11:57 PM,402653184,0,398458880,0,404094976,0,2,0,402653184,0,402653184,0,1193557504,398065664,2.8798828125
12:11:58 PM,398458880,0,398458880,0,397017088,0,8,0,394264576,0,402653184,0,1195245568,393912320,2.9482421875
12:11:59 PM,402653184,0,0,0,397410304,0,0,0,398458880,0,377487360,0,1188691968,388980736,2.8798828125
12:12:00 PM,398458880,0,394264576,0,402128896,0,0,0,390070272,0,394264576,0,1188954112,388366336,2.9423828125
12:12:01 PM,398458880,0,398458880,0,402653184,0,0,0,398458880,0,406847488,0,1193803776,392429568,2.89453125
12:12:02 PM,398458880,0,394264576,0,399638528,0,0,0,398458880,0,385875968,0,1194983424,393609216,2.9375
12:12:03 PM,402653184,0,394264576,0,398721024,0,0,0,402653184,0,394264576,0,1197867008,395575296,2.9404296875
12:12:04 PM,398458880,0,394264576,0,402915328,0,0,0,0,0,398458880,0,1194196992,392298496,2.9091796875
12:12:05 PM,398458880,0,398458880,0,400424960,0,0,0,398458880,0,402653184,0,1199046656,391643136,2.9609375
12:12:06 PM,402653184,0,398458880,0,394788864,0,0,0,398458880,0,385875968,0,1194721280,393347072,2.8876953125
12:12:07 PM,394264576,0,394264576,0,402653184,0,0,0,394264576,0,406847488,0,1188560896,390369280,2.9169921875
12:12:08 PM,402653184,0,394264576,0,397541376,0,0,0,398458880,0,394264576,0,1198653440,394264576,2.931640625
12:12:09 PM,402653184,0,390070272,0,393609216,0,0,0,398458880,0,0,0,1190526976,393179136,2.91796875
12:12:10 PM,402653184,0,398458880,0,409468928,0,0,0,398458880,0,402653184,0,1193934848,392818688,2.9345703125
12:12:11 PM,394264576,0,398458880,0,398852096,0,0,0,398458880,0,385875968,0,1336410112,393084928,2.9091796875
12:12:12 PM,398458880,0,390070272,0,397017088,0,0,0,398458880,0,402653184,0,1469054976,392560640,2.921875
12:12:13 PM,402653184,0,390070272,0,399900672,0,0,0,394264576,0,373293056,0,1192886272,391118848,2.888671875
12:12:14 PM,398458880,0,394264576,0,402653184,0,0,0,402653184,0,411041792,0,1196818432,392691712,2.970703125
12:12:15 PM,402653184,0,406847488,0,395444224,0,0,0,394264576,0,385875968,0,1185415168,390856704,2.87109375
12:12:16 PM,398458880,0,390070272,0,405012480,0,0,0,398458880,0,394264576,0,1193017344,388808704,2.9375
12:12:17 PM,398458880,0,394264576,0,393478144,0,0,0,394264576,0,394264576,0,1192361984,397238272,2.9326171875
12:12:18 PM,398458880,0,394264576,0,402653184,0,0,0,398458880,0,411041792,0,1200095232,393519104,2.9375
12:12:19 PM,398458880,0,398458880,0,398458880,0,0,0,402653184,0,377487360,0,1189478400,391225344,2.8798828125
12:12:20 PM,402653184,0,390070272,0,395968512,0,0,0,394264576,0,394264576,0,1193672704,392298496,2.990234375
12:12:21 PM,402653184,0,398458880,0,397279232,0,0,0,398458880,0,411041792,0,1193672704,395091968,2.9111328125
12:12:22 PM,402653184,0,402653184,0,407764992,0,0,0,402653184,0,385875968,0,1200488448,390070272,2.8505859375
12:12:23 PM,394264576,0,385875968,0,397017088,0,0,0,394264576,0,394264576,0,1191313408,394264576,2.9306640625
12:12:24 PM,398458880,0,394264576,0,402653184,0,0,0,394264576,0,402653184,0,1441267712,390152192,2.94921875
12:12:25 PM,398458880,0,394264576,0,395706368,0,0,0,402653184,0,381681664,0,1387397120,391610368,2.9501953125
12:12:26 PM,402653184,0,402653184,0,398327808,0,0,0,398458880,0,402653184,0,1350434816,396836864,2.927734375
12:12:27 PM,402653184,0,398458880,0,405012480,0,0,0,398458880,0,394264576,0,1744699392,391208960,2.916015625
12:12:28 PM,377487360,0,390070272,0,400293888,0,0,0,394264576,0,394264576,0,1874722816,375390208,2.8173828125
12:12:29 PM,411041792,0,381681664,0,380370944,0,0,0,381681664,0,394264576,0,1567621120,404807680,2.984375
12:12:30 PM,402653184,0,406847488,0,415498240,0,0,0,406847488,0,394264576,0,1589772288,394338304,2.9736328125
12:12:31 PM,406847488,0,398458880,0,400031744,0,0,0,402653184,0,411041792,0,1598554112,398589952,2.931640625
12:12:32 PM,398458880,0,398458880,0,402784256,0,0,0,398458880,0,385875968,0,1590951936,394788864,2.8798828125
12:12:33 PM,0,0,390070272,0,397803520,0,0,0,394264576,0,402653184,0,1336279040,387186688,2.947265625
12:12:34 PM,398458880,0,398458880,0,398721024,0,0,0,402653184,0,385875968,0,1194721280,394133504,2.8857421875
12:12:35 PM,402653184,0,390070272,0,401080320,0,0,0,390070272,0,398458880,0,1198915584,391249920,2.9453125
12:12:36 PM,398458880,0,398458880,0,402653184,0,0,0,402653184,0,385875968,0,1290272768,389947392,2.85026675462723
12:12:37 PM,381681664,0,381681664,0,391512064,0,0,0,385875968,0,423624704,0,1536514176,377487360,2.81640625
12:12:38 PM,390070272,0,381681664,0,380239872,0,0,0,385875968,0,343932928,0,1581514752,373293056,2.7734375
12:12:39 PM,390070272,0,381681664,0,378929152,0,0,0,377487360,0,402653184,0,1574567936,377487360,2.806640625
12:12:40 PM,385875968,0,373293056,0,392036352,0,0,0,381681664,0,369098752,0,1580204032,373293056,2.78125
12:12:41 PM,369098752,0,377487360,0,371982336,0,0,0,377487360,0,369098752,0,1215823872,378748928,2.802734375
