time_stamp,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
03:32:03 PM,85065728,0,83492864,0,597819392,0,36,0,88080384,0,83886080,0,85196800,,0.618940830230713
03:32:04 PM,79167488,0,77856768,0,590741504,0,15,0,79691776,0,79688128,0,83230720,78913536,0.5771484375
03:32:05 PM,83230720,0,82837504,0,594804736,0,76,0,79681528,0,79685176,0,79953920,80621568,0.6083984375
03:32:06 PM,88211456,0,87687168,0,596377600,0,55,0,88074536,0,88074536,0,86376448,86781952,0.6440509557724
03:32:07 PM,87425024,0,86376448,0,598736896,0,61,0,88073088,0,88073088,0,88473600,85737472,0.6450115442276
03:32:08 PM,90963968,0,90046464,0,603193344,0,57,0,88072336,0,88072336,0,87818240,88612864,0.6640625
03:32:09 PM,84672512,0,83361792,0,602669056,0,31,0,92268840,0,83880232,0,90963968,84418560,0.6206134557724
03:32:10 PM,84017152,0,82968576,0,593625088,0,34,0,83882432,0,83882432,0,83230720,82190336,0.6128009557724
03:32:11 PM,84279296,0,83230720,0,598605824,0,26,0,83882432,0,83882432,0,84934656,83107840,0.6181640625
03:32:12 PM,82051072,0,80871424,0,594673664,0,36,0,79688128,0,79685928,0,0,79646720,0.5961834192276
03:32:13 PM,83492864,0,82444288,0,590872576,0,50,0,83881680,0,83883880,0,81657856,82235392,0.607874989509583
03:32:14 PM,83230720,0,82313216,0,599654400,0,21,0,83886080,0,83886080,0,82575360,82579456,0.612995147705078
03:32:15 PM,82575360,0,81788928,0,596639744,0,14,0,83882432,0,79688128,0,85327872,81526784,0.6044921875
03:32:16 PM,84279296,0,83361792,0,592052224,0,34,0,83886080,0,83886080,0,81917800,81788928,0.6142578125
03:32:17 PM,83623936,0,82968576,0,605945856,0,30,0,83883880,0,83883880,0,83495064,82710528,0.6142578125
03:32:18 PM,82051072,0,80609280,0,596508672,0,37,0,83878784,0,79684480,0,84017152,80486400,0.5961993932724
03:32:19 PM,82182144,0,82051072,0,592183296,0,50,0,79691776,0,83886080,0,82837504,81010688,0.6044921875
03:32:20 PM,83623936,0,82182144,0,601096192,0,14,0,83872936,0,79678632,0,83623936,82587648,0.6162109375
03:32:21 PM,82444288,0,81133568,0,593100800,0,7,0,83882432,0,83882432,0,82182144,80228352,0.59765625
03:32:22 PM,81657856,0,80216064,0,597688320,0,14,0,83886080,0,79691776,0,83099648,80609280,0.59765625
03:32:23 PM,84279296,0,83492864,0,602537984,0,37,0,79691776,0,79691776,0,82904112,81657856,0.605608999729157
03:32:24 PM,84803584,0,84279296,0,593362944,0,100,0,83886080,0,83886080,0,82377680,82972672,0.6240234375
03:32:25 PM,85983232,0,85065728,0,603062272,0,6,0,88076736,0,88076736,0,84345904,84672512,0.632915198802948
03:32:26 PM,85196800,0,84279296,0,598474752,0,54,0,83883880,0,83883880,0,86440912,83238912,0.619140625
03:32:27 PM,83755008,0,82575360,0,598081536,0,35,0,88080384,0,83886080,0,85065728,84017152,0.623046875
03:32:28 PM,84148224,0,84017152,0,596246528,0,34,0,83883880,0,83883880,0,86114304,83628032,0.6181640625
03:32:29 PM,85721088,0,83623936,0,596246528,0,34,0,83882432,0,79688128,0,84479872,80482304,0.607421875
03:32:30 PM,86769664,0,86245376,0,602144768,0,8,0,83886080,0,88080384,0,82374784,85196800,0.6323322057724
03:32:31 PM,0,0,81264640,0,600702976,0,37,0,88076736,0,83882432,0,87157784,83496960,0.615676701068878
