"@timestamp per second","receiver_read_bytes","receiver_write_bytes","receiver_remote_ost_read_bytes","receiver_remote_ost_write_bytes","receiver_dtn_read_bytes","receiver_dtn_write_bytes","Differences of Last value of write_bytes_io"
"12:37:10",0,"121,634,816",0,"520,093,696",0,0,
"12:37:11",0,"255,852,544",0,"478,150,656",0,"220,069,888","506,462,208"
"12:37:12",0,"260,046,848",0,"478,150,656",0,"524,025,856","501,850,112"
"12:37:13",0,"247,463,936",0,"478,150,656",0,"510,787,584","512,905,216"
"12:37:14",0,"272,629,760",0,"490,733,568",0,"522,893,984","497,418,240"
"12:37:15",0,"272,629,760",0,"478,150,656",0,"514,540,896","500,994,048"
"12:37:16",0,"276,824,064",0,"478,150,656",0,"512,562,464","516,997,120"
"12:37:17",0,"255,852,544",0,"482,344,960",0,"512,986,848","348,323,840"
"12:37:18",0,"281,018,368",0,"478,150,656",0,"517,083,392","252,448,768"
"12:37:19",0,"247,463,936",0,"486,539,264",0,"288,329,440","258,191,360"
"12:37:20",0,"272,629,760",0,"478,150,656",0,"246,068,480","254,672,896"
"12:37:21",0,"243,269,632",0,"469,762,048",0,"271,124,256","254,693,376"
"12:37:22",0,"268,435,456",0,"486,539,264",0,"245,628,928","247,463,936"
"12:37:23",0,"260,046,848",0,"486,539,264",0,"263,323,648","252,534,784"
"12:37:24",0,"243,269,632",0,"478,150,656",0,"262,772,544","250,806,272"
"12:37:25",0,"264,241,152",0,"478,150,656",0,"243,689,664","251,637,760"
"12:37:26",0,"251,658,240",0,"478,150,656",0,"265,722,048","251,658,240"
"12:37:27",0,"260,046,848",0,"486,539,264",0,"249,692,160","247,463,936"
"12:37:28",0,"260,046,848",0,"478,150,656",0,"259,532,704","265,977,856"
"12:37:29",0,"255,852,544",0,"473,956,352",0,"258,473,984","249,921,536"
"12:37:30",0,"260,046,848",0,"478,150,656",0,"258,080,768","254,050,304"
"12:37:31",0,"260,046,848",0,"486,539,264",0,"259,915,776","246,042,624"
"12:37:32",0,"247,463,936",0,"478,150,656",0,"258,605,056","250,687,488"
"12:37:33",0,"255,852,544",0,"478,150,656",0,"248,987,568","259,432,448"
"12:37:34",0,"276,824,064",0,"469,762,048",0,"255,648,320","260,661,248"
"12:37:35",0,"247,463,936",0,"444,596,224",0,"277,348,352","241,999,872"
"12:37:36",0,"243,269,632",0,"427,819,008",0,"247,070,720","215,482,368"
"12:37:37",0,"222,298,112",0,"427,819,008",0,"243,269,632","237,940,736"
"12:37:38",0,"268,435,456",0,"443,191,296",0,"222,345,888","269,266,944"
"12:37:39",0,"239,075,328",0,"411,041,792",0,"267,911,168","218,079,232"
"12:37:40",0,"234,881,024",0,"419,430,400",0,"242,876,416","234,229,760"
"12:37:41",0,"213,909,504",0,"436,207,616",0,"231,498,528","213,909,504"
"12:37:42",0,"243,269,632",0,"427,819,008",0,"216,006,656","235,532,288"
"12:37:43",0,"218,103,808",0,"427,819,008",0,"241,172,480","213,909,504"
"12:37:44",0,"239,075,328",0,"402,653,184",0,"218,890,240","243,220,480"
"12:37:45",0,"226,492,416",0,"427,819,008",0,"238,288,896","222,298,112"
"12:37:46",0,"247,463,936",0,"427,819,008",0,"226,623,488","243,269,632"
"12:37:47",0,"230,686,720",0,"419,430,400",0,"247,332,864","209,743,872"
"12:37:48",0,"218,103,808",0,"419,430,400",0,"233,046,016","231,514,112"
"12:37:49",0,"218,103,808",0,"411,041,792",0,"215,744,512","204,840,960"
"12:37:50",0,"222,298,112",0,"419,430,400",0,"219,152,384","213,749,760"
"12:37:51",0,"239,075,328",0,"427,819,008",0,"221,249,536","237,817,856"
"12:37:52",0,"230,686,720",0,"419,430,400",0,"239,075,328","228,065,280"
"12:37:53",0,0,0,"419,430,400",0,"231,473,152","217,841,664"
"12:37:54",0,"222,298,112",0,"402,653,184",0,"221,511,680","222,695,424"
"12:37:55",0,"234,881,024",0,"419,430,400",0,"234,881,024","220,594,176"
"12:37:56",0,"213,909,504",0,"419,430,400",0,"213,909,504","226,623,488"
"12:37:57",0,"239,075,328",0,0,0,"239,075,328","244,445,184"
"12:37:58",0,"234,881,024",0,"436,207,616",0,"233,570,304","226,365,440"
"12:37:59",0,"226,492,416",0,"419,430,400",0,"227,803,136","197,234,688"
"12:38:00",0,"218,103,808",0,"415,236,096",0,"218,103,808","222,298,112"
"12:38:01",0,"209,715,200",0,"415,236,096",0,"212,729,856","209,350,656"
"12:38:02",0,"222,298,112",0,"419,430,400",0,"219,283,456","214,958,080"
"12:38:03",0,"226,492,416",0,"419,430,400",0,"226,754,560","221,642,752"
"12:38:04",0,"218,103,808",0,"411,041,792",0,"217,972,736","222,273,536"
"12:38:05",0,"226,492,416",0,"419,430,400",0,"226,361,344","209,715,200"
"12:38:06",0,"230,686,720",0,"419,430,400",0,"232,783,872","240,152,576"
"12:38:07",0,"222,298,112",0,"419,430,400",0,"220,200,960","221,220,864"
"12:38:08",0,"243,269,632",0,"419,430,400",0,"247,463,936","230,711,296"
"12:38:09",0,"218,103,808",0,"436,207,616",0,"215,351,296","219,287,552"
"12:38:10",0,"239,075,328",0,"411,041,792",0,"240,386,048","221,065,216"
"12:38:11",0,"218,103,808",0,"411,041,792",0,"215,351,296","222,298,112"
"12:38:12",0,"230,686,720",0,"419,430,400",0,"230,686,720","234,881,024"
"12:38:13",0,"234,881,024",0,"427,819,008",0,"234,618,880","218,128,384"
"12:38:14",0,"239,075,328",0,"419,430,400",0,"241,041,408","214,462,464"
"12:38:15",0,"226,492,416",0,"419,430,400",0,"224,788,480","236,060,672"
"12:38:16",0,"230,686,720",0,"419,430,400",0,"230,162,432","233,123,840"
"12:38:17",0,"213,909,504",0,"419,430,400",0,"214,040,576","225,107,968"
"12:38:18",0,"230,686,720",0,"423,624,704",0,"232,128,512","211,427,328"
"12:38:19",0,"230,686,720",0,"419,430,400",0,"229,507,072","230,395,904"
"12:38:20",0,"226,492,416",0,"411,041,792",0,"226,623,488","217,886,720"
"12:38:21",0,"222,298,112",0,"419,430,400",0,"222,298,112","213,499,904"
"12:38:22",0,"222,298,112",0,"411,041,792",0,"222,298,112","224,002,048"
"12:38:23",0,"222,298,112",0,"415,236,096",0,"225,443,840","217,059,328"
"12:38:24",0,"180,355,072",0,"411,041,792",0,"177,209,344","151,130,112"
"12:38:25",0,"163,577,856",0,"268,435,456",0,"163,577,856","159,223,808"
"12:38:26",0,"159,383,552",0,"301,989,888",0,"159,383,552","150,994,944"
"12:38:27",0,"159,383,552",0,"285,159,424",0,"159,383,552","163,577,856"
"12:38:28",0,"155,189,248",0,"309,055,488",0,"159,383,552","159,383,552"
"12:38:29",0,"167,772,160",0,"301,989,888",0,"155,189,248","159,383,552"
"12:38:30",0,"167,772,160",0,"293,601,280",0,"169,213,952","163,577,856"
"12:38:31",0,"163,577,856",0,"293,601,280",0,"166,330,368","159,383,552"
"12:38:32",0,"159,383,552",0,"285,212,672",0,"163,577,856","159,383,552"
"12:38:33",0,"159,383,552",0,"290,783,232",0,"159,383,552","145,780,736"
"12:38:34",0,"159,383,552",0,"285,212,672",0,"159,383,552","160,378,880"
"12:38:35",0,"163,577,856",0,"285,212,672",0,"159,383,552","167,772,160"
"12:38:36",0,"167,772,160",0,"285,212,672",0,"166,068,224","159,408,128"
"12:38:37",0,"167,772,160",0,"293,601,280",0,"165,281,792","156,921,856"
"12:38:38",0,"159,383,552",0,"310,378,496",0,"167,772,160","161,845,248"
"12:38:39",0,"171,966,464",0,"301,989,888",0,"159,383,552","165,441,536"
"12:38:40",0,"163,577,856",0,"301,989,888",0,"171,966,464","165,883,904"
"12:38:41",0,"188,743,680",0,"285,212,672",0,"163,577,856","195,334,144"
"12:38:42",0,"226,492,416",0,"402,653,184",0,"188,612,608","209,207,296"
"12:38:43",0,"243,269,632",0,"427,819,008",0,"226,623,488","241,410,048"
"12:38:44",0,"218,103,808",0,"419,430,400",0,"243,333,344","218,132,480"
"12:38:45",0,0,0,"419,430,400",0,"218,826,528","233,095,168"
"12:38:46",0,"243,269,632",0,"452,984,832",0,"241,453,440","249,245,696"
"12:38:47",0,"243,269,632",0,"461,373,440",0,"244,449,280","239,079,424"
"12:38:48",0,"251,658,240",0,"482,344,960",0,"251,286,752","264,273,920"
"12:38:49",0,"264,241,152",0,"473,956,352",0,"263,806,640","243,245,056"
"12:38:50",0,"251,658,240",0,"444,596,224",0,"252,313,600","218,103,808"
"12:38:51",0,"226,492,416",0,"419,430,400",0,"226,492,416","224,792,576"
"12:38:52",0,"218,103,808",0,"419,430,400",0,"217,710,592","215,609,344"
"12:38:53",0,"197,132,288",0,"343,932,928",0,"197,525,504","183,640,064"
"12:38:54",0,"209,715,200",0,"427,819,008",0,"210,108,416","224,526,336"
"12:38:55",0,"234,881,024",0,"419,430,400",0,"234,488,560","228,458,496"
"12:38:56",0,"230,686,720",0,"415,236,096",0,"230,686,720","223,186,944"
"12:38:57",0,"218,103,808",0,"419,430,400",0,"219,414,528","222,298,112"
"12:38:58",0,"247,463,936",0,"419,430,400",0,"246,153,216","246,054,912"
"12:38:59",0,"226,492,416",0,"423,624,704",0,"226,492,416","207,618,048"
"12:39:00",0,"281,018,368",0,"394,264,576",0,"281,018,368","419,168,256"
"12:39:01",0,"423,624,704",0,"411,041,792",0,"423,624,704","376,438,784"
"12:39:02",0,"322,961,408",0,"462,782,464",0,"322,961,408","218,755,072"
"12:39:03",0,"222,298,112",0,"419,430,400",0,"221,773,824","218,632,192"
"12:39:04",0,"226,492,416",0,"427,819,008",0,"225,050,624","238,047,232"
"12:39:05",0,"239,075,328",0,"423,624,704",0,"241,041,408","212,054,016"
"12:39:06",0,"234,881,024",0,"411,041,792",0,"229,376,000","233,963,520"
"12:39:07",0,"218,103,808",0,"411,041,792",0,"223,608,832","217,157,632"
"12:39:08",0,"247,463,936",0,"419,430,400",0,"247,201,792","249,503,744"
"12:39:09",0,"243,269,632",0,"411,041,792",0,"239,337,472","244,404,224"
"12:39:10",0,"247,463,936",0,"419,430,400",0,"246,284,288","231,682,048"
"12:39:11",0,"255,852,544",0,"419,430,400",0,"261,246,768","264,241,152"
"12:39:12",0,"247,463,936",0,"419,430,400",0,"247,442,912","229,036,032"
"12:39:13",0,"222,298,112",0,"419,430,400",0,"220,463,104","232,390,656"
"12:39:14",0,"239,075,328",0,"402,653,184",0,"241,979,936","223,109,120"
"12:39:15",0,"226,492,416",0,"436,207,616",0,0,"224,243,712"
"12:39:16",0,"255,852,544",0,"423,624,704",0,"225,443,840","257,265,664"
"12:39:17",0,"247,463,936",0,"419,430,400",0,"253,079,760","243,298,304"
"12:39:18",0,"243,269,632",0,"419,430,400",0,"249,623,360","239,288,320"
"12:39:19",0,"218,103,808",0,"427,819,008",0,"245,828,800","221,265,920"
"12:39:20",0,"251,658,240",0,"419,430,400",0,"216,137,728","227,532,800"
"12:39:21",0,"239,075,328",0,"419,430,400",0,"253,047,152","234,647,552"
"12:39:22",0,"230,686,720",0,"411,041,792",0,"237,686,416","217,083,904"
"12:39:23",0,"218,103,808",0,"427,819,008",0,"230,686,720","237,768,704"
"12:39:24",0,"226,492,416",0,"419,430,400",0,"217,841,664","224,628,736"
"12:39:25",0,"230,686,720",0,"419,430,400",0,"226,230,272","212,889,600"
"12:39:26",0,"230,686,720",0,"427,819,008",0,"233,308,160","223,318,016"
"12:39:27",0,"230,686,720",0,"402,653,184",0,"228,589,568","231,632,896"
"12:39:28",0,"247,463,936",0,"411,041,792",0,"231,079,936","243,634,176"
"12:39:29",0,"230,686,720",0,"419,430,400",0,"247,070,720","229,376,000"
"12:39:30",0,"251,658,240",0,"419,430,400",0,"228,982,784","238,055,424"
