time_stamp,sender_read_bytes,sender_remote_ost_read_bytes,sender_write_bytes,sender_remote_ost_write_bytes,sender_retrans,receiver_read_bytes,receiver_remote_ost_read_bytes,receiver_write_bytes,receiver_remote_ost_write_bytes,receiver_write_bytes_io,through_put
04:45:40 PM,272629760,268435456,0,0,0,0,0,260046848,482344960,257896448,1.9833984375
04:45:41 PM,268435456,272629760,0,0,0,0,0,268435456,482344960,250187776,1.90625
04:45:42 PM,268435456,264241152,0,0,0,0,0,272629760,482344960,262508544,1.8984375
04:45:43 PM,255852544,255852544,0,0,0,0,0,247463936,486539264,260571136,1.9453125
04:45:44 PM,268435456,264241152,0,0,0,0,0,268435456,478150656,258482176,1.9482421875
04:45:45 PM,260046848,255852544,0,0,0,0,0,268435456,478150656,255586304,1.95634078979492
04:45:46 PM,268435456,268435456,0,0,0,0,0,260046848,486539264,268705792,1.96875
04:45:47 PM,268435456,264241152,0,0,0,0,0,276824064,486539264,259997696,1.875
04:45:48 PM,255852544,260046848,0,0,0,0,0,260046848,482344960,255852544,2.076171875
04:45:49 PM,281018368,268435456,0,0,0,0,0,276824064,486539264,285212672,1.9345703125
04:45:50 PM,276824064,272629760,0,0,0,0,0,272629760,478150656,251707392,2.060546875
04:45:51 PM,276824064,272629760,0,0,0,0,0,268435456,486539264,289406976,1.98828125
04:45:52 PM,285212672,268435456,0,0,0,0,0,276824064,486539264,255803392,1.931640625
04:45:53 PM,239075328,260046848,0,0,0,0,0,264241152,473956352,257896448,2.2001953125
04:45:54 PM,314572800,260046848,0,0,0,0,0,297795584,486539264,299761664,1.90589916706085
04:45:55 PM,234881024,301989888,0,0,0,0,0,264241152,478150656,236027904,1.615234375
04:45:56 PM,234881024,234881024,0,0,0,0,0,213909504,444596224,225591296,1.6875
04:45:57 PM,222298112,230686720,0,0,0,0,0,226492416,419430400,226443264,1.6220703125
04:45:58 PM,247463936,218103808,0,0,0,0,0,234881024,423624704,225869824,1.7822265625
04:45:59 PM,234881024,234881024,0,0,0,0,0,226492416,427819008,229642240,1.9384765625
