time_stamp,sender_avg_rtt_value,sender_pacing_rate,sender_cwnd_rate,sender_avg_retransmission_timeout_value,sender_byte_ack,sender_seg_out,sender_retrans,sender_ssthresh_value,sender_segs_in,sender_avg_send_value,sender_unacked_value,sender_send_buffer_value,sender_rchar,sender_wchar,sender_syscr,sender_syscw,sender_read_bytes_io,sender_write_bytes_io,sender_cancelled_write_bytes,sender_num_threads,sender_vsize,sender_rss,sender_cpu_usage_percentage,sender_mem_usage_percentage,sender_tcp_snd_buffer_min,sender_tcp_snd_buffer_max,sender_req_waittime,sender_req_active,sender_read_bytes,sender_write_bytes,sender_ost_setattr,sender_ost_read,sender_ost_write,sender_ost_punch,sender_ldlm_cancel,sender_pending_read_pages,sender_read_RPCs_in_flight,sender_avg_waittime_md,sender_inflight_md,sender_req_waittime_md,sender_req_active_md,sender_mds_getattr_lock_md,sender_mds_close_md,sender_mds_readpage_md,sender_ldlm_cancel_md,sender_obd_ping_md,sender_close_md,sender_create_md,sender_intent_lock_md,sender_setattr_md,sender_read_page_md,sender_unlink_md,sender_avg_dsack_dups_value,sender_avg_reord_seen,sender_system_cpu_percent,sender_system_memory_percent,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,receiver_avg_rtt_value,receiver_pacing_rate,receiver_cwnd_rate,receiver_avg_retransmission_timeout_value,receiver_byte_ack,receiver_seg_out,receiver_retrans,receiver_ssthresh_value,receiver_segs_in,receiver_avg_send_value,receiver_unacked_value,receiver_send_buffer_value,receiver_rchar,receiver_wchar,receiver_syscr,receiver_syscw,receiver_read_bytes_io,receiver_write_bytes_io,receiver_cancelled_write_bytes,receiver_num_threads,receiver_vsize,receiver_rss,receiver_cpu_usage_percentage,receiver_mem_usage_percentage,receiver_tcp_snd_buffer_min,receiver_tcp_snd_buffer_max,receiver_req_waittime,receiver_req_active,receiver_read_bytes,receiver_write_bytes,receiver_ost_setattr,receiver_ost_read,receiver_ost_write,receiver_ost_punch,receiver_ldlm_cancel,receiver_pending_read_pages,receiver_read_RPCs_in_flight,receiver_avg_waittime_md,receiver_inflight_md,receiver_req_waittime_md,receiver_req_active_md,receiver_mds_getattr_lock_md,receiver_mds_close_md,receiver_mds_readpage_md,receiver_ldlm_cancel_md,receiver_obd_ping_md,receiver_close_md,receiver_create_md,receiver_intent_lock_md,receiver_setattr_md,receiver_read_page_md,receiver_unlink_md,receiver_avg_dsack_dups_value,receiver_avg_reord_seen,receiver_system_cpu_percent,receiver_system_memory_percent,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,through_put,label_value
1651976575.114801,0.316,24219.8,331.0,201.0,505.8396759033203,366932.0,0.0,95.0,3520.0,12133.9,137.0,2608736.0,542333325,190,4660,13,641888256,40960,0,22,36903059456,33699,58.9,0.1023045124368334,4096,4194304,7300116,965,545259520,0,0,7300116,0,0,0,9,5120,440,0,2044,5,338,840,0,0,0,2,0,9,0,0,0,0.0,0.0,4.2,1.7,532676608,0,0.0,0.0,10.0,208.0,0.0,3552.0,0.0,0.0,368623.0,0.0,0.0,0.0,1122773,547851445,493,4207,47177728,547897344,0,21,36767649792,32703,86.1,0.0992808234731524,4096,4194304,5373213,763,0,511705088,0,0,5373213,0,0,0,0,481,0,6513,19,606,1916,0,1246,0,5,0,12,0,0,0,0.0,0.0,4.3,1.8,0,520093696,3.7649828791618343,1002
1651976576.2144885,0.395,24017.4,410.0,201.0,530.100227355957,384440.0,9.0,301.0,3584.0,12023.9,129.0,417752.0,1100178589,190,8924,13,1195536384,45056,0,18,36903059456,33832,61.5,0.1027082781317828,4096,4194304,9798461,1209,557842432,0,0,9798461,0,0,0,9,4096,440,0,2105,5,316,774,0,0,0,2,0,9,0,0,0,0.0,0.0,4.1,1.8,557842432,21066401,0.0,0.0,10.0,208.0,0.0,3616.0,0.0,0.0,388592.0,0.0,0.0,0.0,1124906,1110180080,499,8512,47177728,1110224896,0,19,36767649792,32787,92.6,0.099535833385752,4096,4194304,10088009,1222,0,536870912,0,0,10088009,0,0,0,0,481,0,6238,17,413,2333,0,1295,0,5,0,12,0,0,0,0.0,0.0,4.5,1.9,0,541065216,3.754548370838165,1002
1651976577.3095412,0.371,32729.8,525.0,201.0,448.39839935302734,324972.0,0.0,301.0,2762.0,16392.5,129.0,0.0,1586717853,190,12636,13,1682075648,45056,0,18,36903059456,33832,37.4,0.1027082781317828,4096,4194304,9496253,1026,478150656,0,0,9496253,0,0,0,8,2048,440,0,1983,5,403,755,0,0,0,2,0,9,0,0,0,0.0,0.0,2.9,1.8,469762048,73185968,0.0,0.0,10.0,208.0,0.0,2726.0,0.0,0.0,324953.0,0.0,0.0,0.0,1124906,1595032827,499,12229,47177728,1595080704,0,19,36767649792,32787,84.8,0.099535833385752,4096,4194304,9796425,1110,0,536870912,0,0,9796425,0,0,0,0,481,0,6153,18,480,2060,0,1178,0,5,0,12,0,0,0,0.0,0.0,4.2,1.9,0,499122176,2.5476949214935303,1002
1651976578.4076755,0.303,32729.8,557.0,201.0,397.6313095092773,288495.0,0.0,301.0,2323.0,21294.7,90.0,2483752.0,1989371037,190,15708,13,2084728832,49152,0,18,36903059456,33833,47.5,0.1027113139640756,4096,4194304,9875340,883,411041792,0,0,9875340,0,0,0,9,4096,440,0,1902,5,268,787,0,0,0,2,0,9,0,0,0,0.0,0.0,3.5,1.9,419430400,73085376,0.0,0.0,10.0,208.0,0.0,2454.0,0.0,0.0,295929.0,0.0,0.0,0.0,1125642,2010660921,500,15416,47181824,2010714112,0,19,36767649792,33300,78.4,0.1010932153519853,4096,4194304,2166784,301,0,406847488,0,0,2166784,0,0,0,0,481,0,7287,17,648,2672,0,1433,0,5,0,12,0,0,0,0.0,0.0,3.6,1.9,0,423624704,3.369405150413513,1002
1651976579.4992733,0.421,32374.7,589.0,201.0,527.7290573120117,382957.0,0.0,301.0,3669.0,16206.6,413.0,1457136.0,2543019876,190,19934,13,2638376960,57344,0,18,36903059456,33836,47.3,0.1027204214609542,4096,4194304,9704590,1188,553648128,0,0,9704590,0,0,0,8,4096,440,0,1973,5,296,774,0,0,0,2,0,9,0,0,0,0.0,0.0,3.4,1.9,549453824,0,0.0,0.0,10.0,208.0,0.0,3673.0,0.0,0.0,388512.0,0.0,0.0,0.0,1125642,2568487467,500,19684,47181824,2568540160,0,19,36767649792,33300,94.8,0.1010932153519853,4096,4194304,8412102,1105,0,532676608,0,0,8412102,0,0,0,0,481,0,6748,17,388,2336,0,1446,0,5,0,12,0,0,0,0.0,0.0,4.5,2.0,0,549453824,3.772353053092957,1002
1651976580.5890589,0.664,22057.3,633.0,201.0,522.1831817626953,378271.0,0.0,301.0,3194.0,11043.2,187.0,1658272.0,3093391915,190,24135,13,3192025088,65536,0,18,36903059456,33838,41.3,0.1027264931255399,4096,4194304,9635036,1179,549453824,0,0,9635036,0,0,0,9,5120,440,0,2181,5,425,841,0,0,0,2,0,9,0,0,0,0.0,0.0,2.9,2.0,549453824,0,0.0,0.0,10.0,208.0,0.0,3280.0,0.0,0.0,382827.0,0.0,0.0,0.0,1126355,3128164950,502,23970,47181824,3128217600,0,19,36767649792,33300,90.6,0.1010932153519853,4096,4194304,10082800,1220,0,532676608,0,0,10082800,0,0,0,0,481,0,6126,17,440,1972,0,1176,0,5,0,12,0,0,0,0.0,0.0,4.4,2.0,0,536870912,3.75390625,1002
1651976581.680322,0.309,22057.3,654.0,201.0,521.8652420043945,378334.0,0.0,301.0,3395.0,24517.6,135.0,2717080.0,3643501099,190,28332,13,3745673216,65536,0,18,36903059456,33838,45.9,0.1027264931255399,4096,4194304,9637640,1180,549453824,0,0,9637640,0,0,0,9,3072,440,0,2160,5,382,824,0,0,0,2,0,9,0,0,0,0.0,0.0,3.4,2.0,549453824,0,0.0,0.0,10.0,208.0,0.0,3493.0,0.0,0.0,385204.0,0.0,0.0,0.0,1127068,3674997369,504,28157,47181824,3675049984,0,19,36767649792,33301,92.6,0.1010962511842781,4096,4194304,10118305,1230,0,532676608,0,0,10118305,0,0,0,0,481,0,8317,17,570,2937,0,1770,0,5,0,12,0,0,0,0.0,0.0,4.7,2.1,0,532676608,3.744140625,1002
1651976582.7702467,0.325,22057.3,677.0,201.0,524.151481628418,379818.0,0.0,301.0,3344.0,24130.4,11.0,2689312.0,4194003499,190,32532,13,4299321344,65536,0,18,36903059456,33838,40.3,0.1027264931255399,4096,4194304,9654345,1180,549453824,0,0,9654345,0,0,0,9,4096,440,0,2191,5,515,784,0,0,0,2,0,9,0,0,0,0.0,0.0,3.1,2.1,549453824,0,0.0,0.0,10.0,208.0,0.0,3374.0,0.0,0.0,384652.0,0.0,0.0,0.0,1127781,4233102204,506,32429,47181824,4233158656,0,19,36767649792,33813,91.2,0.1026505973182186,4096,4194304,9992516,1245,0,536870912,0,0,9992516,0,0,0,0,481,0,5945,18,428,1897,0,1140,0,5,0,12,0,0,0,0.0,0.0,4.5,2.1,0,532676608,3.783203125,1002
1651976583.8635757,0.358,22057.3,691.0,201.0,526.4815979003906,381789.0,0.0,301.0,3596.0,22359.1,90.0,3323160.0,4740835883,190,36704,13,4836192256,65536,0,18,36903059456,33840,37.6,0.1027325647901256,4096,4194304,9622389,1179,549453824,0,0,9622389,0,0,0,9,4096,440,0,2289,5,482,839,0,0,0,2,0,9,0,0,0,0.0,0.0,3.0,2.1,553648128,0,0.0,0.0,10.0,208.0,0.0,3624.0,0.0,0.0,382224.0,0.0,0.0,0.0,1127781,4788323231,506,36684,47181824,4788379648,0,19,36767649792,33813,93.5,0.1026505973182186,4096,4194304,9949883,1170,0,511705088,0,0,9949883,0,0,0,0,481,0,5694,18,378,1975,0,953,0,5,0,12,0,0,0,0.0,0.0,4.6,2.2,0,507510784,3.75390625,1002
1651976586.050202,0.356,22057.3,720.0,201.0,511.3319778442383,370595.0,0.0,301.0,3323.0,23428.3,90.0,2462584.0,5839743531,190,45088,13,5943488512,69632,0,18,36903059456,33840,41.1,0.1027325647901256,4096,4194304,9508282,1152,536870912,0,0,9508282,0,0,0,9,5120,440,0,2200,5,380,843,0,0,0,2,0,9,0,0,0,0.0,0.0,3.2,2.2,536870912,8380800,0.0,0.0,10.0,208.0,0.0,3349.0,0.0,0.0,376464.0,0.0,0.0,0.0,1128494,5892080621,508,45127,47181824,5892136960,0,19,36767649792,33829,92.2,0.1026991706349042,4096,4194304,10090645,1068,0,469762048,0,0,10090645,0,0,0,0,481,0,8364,18,671,2688,0,1679,0,5,0,12,0,0,0,0.0,0.0,4.5,2.3,0,473956352,3.470902919769287,1002
1651976587.1430185,0.314,22057.3,742.0,201.0,501.0094604492188,363361.0,0.0,301.0,3187.0,27373.7,119.0,1404088.0,6352497195,190,49000,13,6463582208,69632,0,18,36903059456,33840,35.7,0.1027325647901256,4096,4194304,9858652,1125,524288000,0,0,9858652,0,0,0,9,4096,440,0,2207,5,495,758,0,0,0,2,0,9,0,0,0,0.0,0.0,2.8,2.3,524288000,16761600,0.0,0.0,10.0,208.0,0.0,3085.0,0.0,0.0,354821.0,0.0,0.0,0.0,1128494,6417679383,508,49143,47181824,6417752064,0,19,36767649792,33829,92.1,0.1026991706349042,4096,4194304,10196216,1089,0,469762048,0,0,10196216,0,0,0,0,481,0,6476,18,559,2243,0,1141,0,5,0,12,0,0,0,0.0,0.0,4.4,2.4,0,465567744,3.5693359375,1002
1651976588.235331,0.366,22057.3,755.0,201.0,495.3915939331055,359265.0,0.0,301.0,3417.0,23896.0,135.0,3648960.0,6879930923,190,53024,13,6983675904,69632,0,18,36903059456,33840,36.7,0.1027325647901256,4096,4194304,9627227,1126,524288000,0,0,9627227,0,0,0,9,3072,440,0,2197,5,382,845,0,0,0,2,0,9,0,0,0,0.0,0.0,2.9,2.3,520093696,16761600,0.0,0.0,10.0,208.0,0.0,3635.0,0.0,0.0,377934.0,0.0,0.0,0.0,1129207,6957317511,510,53268,47181824,6957379584,0,19,36767649792,34344,95.9,0.1042626242657232,4096,4194304,10136349,947,0,419430400,0,0,10136349,0,0,0,0,481,0,6853,17,413,2510,0,1431,0,5,0,12,0,0,0,0.0,0.0,4.5,2.4,0,419430400,3.7232388257980342,1002
1651976589.3302145,0.303,22057.3,766.0,201.0,528.3417663574219,382859.0,0.0,301.0,3562.0,29285.0,14.0,1683680.0,7425190443,190,57184,13,7520546816,69632,0,18,36903059456,33840,37.5,0.1027325647901256,4096,4194304,9651493,1179,549453824,0,0,9651493,0,0,0,9,4096,440,0,2197,5,320,831,0,0,0,2,0,9,0,0,0,0.0,0.0,3.1,2.4,553648128,0,0.0,0.0,10.0,208.0,0.0,3527.0,0.0,0.0,381970.0,0.0,0.0,0.0,1129207,7508460834,510,57490,47181824,7508520960,0,19,36767649792,34344,92.7,0.1042626242657232,4096,4194304,10186679,930,0,402653184,0,0,10186679,0,0,0,0,481,0,7965,17,617,2466,0,1633,0,5,0,12,0,0,0,0.0,0.0,4.4,2.5,0,402653184,3.766159236431122,1002
1651976590.4232266,0.373,22057.3,780.0,201.0,520.9817047119141,377870.0,0.0,301.0,3420.0,24223.9,169.0,4062160.0,7977004274,190,61396,13,8074194944,77824,0,18,36903059456,33863,38.3,0.1028023889328612,4096,4194304,9658823,1179,549453824,0,0,9658823,0,0,0,9,6144,440,0,2214,5,485,818,0,0,0,2,0,9,0,0,0,0.0,0.0,3.0,2.4,545259520,0,0.0,0.0,10.0,208.0,0.0,3520.0,0.0,0.0,384610.0,0.0,0.0,0.0,1130633,8061291412,514,61723,47181824,8061353984,0,19,36767649792,34363,96.9,0.1043203050792874,4096,4194304,9535737,1046,0,444596224,0,0,9535737,0,0,0,0,481,0,6258,17,459,2134,0,1174,0,5,0,12,0,0,0,0.0,0.0,4.7,2.5,0,444596224,3.719715774059296,1002
1651976591.5142183,0.268,22057.3,789.0,201.0,516.3269271850586,374278.0,0.0,301.0,3618.0,34103.6,23.0,3583800.0,8526983097,190,65594,13,8627843072,77824,0,18,36903059456,33878,39.4,0.102847926417254,4096,4194304,9670305,1179,549453824,0,0,9670305,0,0,0,9,3072,440,0,2155,5,487,835,0,0,0,2,0,9,0,0,0,0.0,0.0,3.0,2.5,549453824,0,0.0,0.0,10.0,208.0,0.0,3768.0,0.0,0.0,379563.0,0.0,0.0,0.0,1131346,8612218231,516,65935,47181824,8612405248,0,19,36767649792,34364,95.3,0.1043233409115802,4096,4194304,10430823,985,0,432013312,0,0,10430823,0,0,0,0,481,0,6514,19,493,2273,0,1267,0,5,0,12,0,0,0,0.0,0.0,4.4,2.6,0,427819008,3.753188610076904,1002
1651976592.6045053,0.36,22057.3,797.0,201.0,528.1642608642578,383129.0,0.0,301.0,3542.0,25645.7,112.0,1449960.0,9069359033,190,69732,13,9164713984,77824,0,18,36903059456,33878,39.5,0.102847926417254,4096,4194304,9647240,1170,545259520,0,0,9647240,0,0,0,9,5120,440,0,2349,5,488,915,0,0,0,2,0,9,0,0,0,0.0,0.0,3.2,2.5,545259520,0,0.0,0.0,10.0,208.0,0.0,3336.0,0.0,0.0,384178.0,0.0,0.0,0.0,1131346,9168749986,516,70197,47181824,9168809984,0,19,36767649792,34364,91.9,0.1043233409115802,4096,4194304,10275244,723,0,314572800,0,0,10275244,0,0,0,0,481,0,6681,18,357,2379,0,1445,0,5,0,12,0,0,0,0.0,0.0,4.2,2.6,0,314572800,3.725316226482392,1002
