time_stamp,sender_retrans,sender_read_bytes,sender_remote_ost_read_bytes,sender_write_bytes,sender_remote_ost_write_bytes,receiver_read_bytes,receiver_remote_ost_read_bytes,receiver_write_bytes,receiver_remote_ost_write_bytes,receiver_write_bytes_io,through_put
02:45:08 PM,7,0,507510784,0,0,0,0,0,0,,9.77E-04
02:45:09 PM,0,4194304,507510784,0,0,0,0,4194304,4194304,20971520,0.0927734375
02:45:10 PM,0,20971520,503316480,0,0,0,0,20971520,20971520,37748736,0.21875
02:45:11 PM,0,37748736,507510784,0,0,0,0,37748736,41943040,41943040,0.3125
02:45:12 PM,0,41943040,507510784,0,0,0,0,62914560,58720256,157941760,0.525390625
02:45:13 PM,0,188743680,507510784,0,0,0,0,184549376,209715200,261492736,1.91015625
02:45:14 PM,0,247463936,507510784,0,0,0,0,251658240,247463936,253759488,1.8486328125
02:45:15 PM,0,251658240,507510784,0,0,0,0,264240400,247463184,241967104,1.8203125
02:45:16 PM,0,260046848,507510784,0,0,0,0,255852544,260046096,259268608,1.9501953125
02:45:17 PM,0,264241152,0,0,0,0,0,243267376,255851040,252055552,1.8291015625
02:45:18 PM,0,251658240,507510784,0,0,0,0,255852544,243269632,243400704,1.8525390625
02:45:19 PM,0,251658240,511705088,0,0,0,0,264241152,255852544,263725056,1.9560546875
02:45:20 PM,0,255852544,507510784,0,0,0,0,255851040,260045344,244715520,1.759765625
02:45:21 PM,0,264241152,507510784,0,0,0,0,247463184,247463184,248774656,1.908203125
02:45:22 PM,0,255852544,507510784,0,0,0,0,255851792,251657488,261890048,1.9619140625
02:45:23 PM,0,243269632,511705088,0,0,0,0,268433200,268433200,240926720,1.77734375
02:45:24 PM,0,260046848,507510784,0,0,0,0,251656736,243268128,262017024,1.9140625
02:45:25 PM,0,268435456,507510784,0,0,0,0,251657488,255851792,250740736,1.8857421875
02:45:26 PM,0,251658240,511705088,0,0,0,0,264241152,268435456,249692160,1.86328125
02:45:27 PM,0,247463936,507510784,0,0,0,0,251658240,234881024,258740224,1.96875
02:45:28 PM,0,264241152,511705088,0,0,0,0,251658240,255852544,238698496,1.8046875
02:45:29 PM,0,260046848,507510784,0,0,0,0,255851792,260046096,256253952,1.8818359375
02:45:30 PM,0,243269632,511705088,0,0,0,0,264240400,243268880,253624320,1.8486328125
02:45:31 PM,0,268435456,507510784,0,0,0,0,251658240,268435456,250478592,1.900390625
02:45:32 PM,0,268435456,507510784,0,0,0,0,255851792,251657488,261951488,1.9306640625
02:45:33 PM,0,247463936,511705088,0,0,0,0,264240400,247463184,244781056,1.818359375
02:45:34 PM,0,247463936,507510784,0,0,0,0,255852544,264241152,255852544,1.935546875
02:45:35 PM,0,268435456,511705088,0,0,0,0,239075328,247463936,255594496,1.8017578125
02:45:36 PM,0,255852544,507510784,0,0,0,0,272629760,251658240,243531776,1.9150390625
02:45:37 PM,0,247463936,507510784,0,0,0,0,255852544,264241152,264241152,1.9267578125
02:45:38 PM,0,260046848,511705088,0,0,0,0,251731968,243343360,243462144,1.79296875
02:45:39 PM,9,264241152,507510784,0,0,0,0,255852544,251658240,251469824,1.935546875
02:45:40 PM,0,260046848,511705088,0,0,0,0,260046848,264241152,262148096,1.896484375
02:45:41 PM,0,247463936,507510784,0,0,0,0,264240400,251657488,239599616,1.8076171875
02:45:42 PM,0,247463936,507510784,0,0,0,0,243269632,239075328,253231104,1.9189453125
02:45:43 PM,0,264241152,507510784,0,0,0,0,251662336,264245248,252973056,1.8310546875
02:45:44 PM,0,255852544,507510784,0,0,0,0,264240400,247463184,242528256,1.85546875
02:45:45 PM,0,243269632,503316480,0,0,0,0,247463184,247463184,261709824,1.8994140625
02:45:46 PM,0,264241152,507510784,0,0,0,0,251658240,268435456,239206400,1.8310546875
02:45:47 PM,0,260046848,503316480,0,0,0,0,260046848,230686720,252051456,1.923828125
02:45:48 PM,0,239075328,507510784,0,0,0,0,251658240,268435456,247332864,1.7861328125
02:45:49 PM,0,264241152,507510784,0,0,0,0,247463936,239075328,257425408,1.931640625
02:45:50 PM,0,260046848,503316480,0,0,0,0,264238944,251656032,247992320,1.8076171875
02:45:51 PM,0,247463936,507510784,0,0,0,0,255852544,264241152,242745344,1.84765625
02:45:52 PM,0,247463936,503316480,0,0,0,0,247463936,247463936,264241152,1.9384765625
02:45:53 PM,0,264241152,507510784,0,0,0,0,251658240,247463936,245587968,1.8115234375
02:45:54 PM,0,264241152,507510784,0,0,0,0,264241152,260046848,245145600,1.8740234375
02:45:55 PM,0,264241152,507510784,0,0,0,0,264241152,264241152,264241152,1.96875
02:45:56 PM,0,255852544,511705088,0,0,0,0,255852544,251658240,264241152,1.8857421875
02:45:57 PM,0,243269632,507510784,0,0,0,0,247463936,247463936,233701376,1.8251953125
02:45:58 PM,0,255852544,507510784,0,0,0,0,251658240,255852544,257044480,1.9091796875
02:45:59 PM,0,255852544,507510784,0,0,0,0,255852544,243269632,239865856,1.7626953125
02:46:00 PM,0,247463936,507510784,0,0,0,0,247463936,247463936,250871808,1.8916015625
02:46:01 PM,0,251658240,507510784,0,0,0,0,255852544,264241152,259391488,1.8837890625
02:46:02 PM,0,268435456,507510784,0,0,0,0,264241152,247463936,243924992,1.828125
02:46:03 PM,0,260046848,507510784,0,0,0,0,255852544,247463936,255852544,1.9423828125
02:46:04 PM,0,247463936,503316480,0,0,0,0,247463184,264240400,252489728,1.818359375
02:46:05 PM,0,0,511705088,0,0,0,0,0,243269632,246636544,1.8681640625
02:46:06 PM,0,255852544,507510784,0,0,0,0,260046848,255852544,264241152,1.9580078125
02:46:07 PM,0,264241152,507510784,0,0,0,0,264241152,264239648,245772288,1.806640625
02:46:08 PM,0,260046848,511705088,0,0,0,0,255851040,247463936,249167872,1.9189453125
02:46:09 PM,0,239075328,507510784,0,0,0,0,243269632,247463936,254410752,1.8447265625
02:46:10 PM,0,260046848,511705088,0,0,0,0,260046848,264241152,244711424,1.830078125
02:46:11 PM,0,264241152,507510784,0,0,0,0,264241152,251656032,255856640,1.94921875
02:46:12 PM,0,251658240,511705088,0,0,0,0,243267424,243269632,257302528,1.7763671875
02:46:13 PM,0,260046848,507510784,0,0,0,0,264241152,264269824,243511296,1.91015625
02:46:14 PM,0,251658240,507510784,0,0,0,0,255881216,260046848,262553600,2
02:46:15 PM,0,264241152,511705088,0,0,0,0,264241152,243269632,251002880,1.8271484375
02:46:16 PM,0,264241152,507510784,0,0,0,0,247463936,260046848,248557568,1.8603515625
02:46:17 PM,0,251658240,511705088,0,0,0,0,255852544,264241152,259608576,1.96875
02:46:18 PM,0,260046848,507510784,0,0,0,0,260046848,247463936,251789312,1.8408203125
02:46:19 PM,0,251658240,511705088,0,0,0,0,264241152,247463936,243138560,1.845703125
02:46:20 PM,0,264241152,507510784,0,0,0,0,243269632,264241152,264241152,1.9404296875
02:46:21 PM,10,251658240,507510784,0,0,0,0,255852544,247463936,242876416,1.7707451581955
02:46:22 PM,0,247463936,511705088,0,0,0,0,260046848,247463936,252051456,1.9431220293045
02:46:23 PM,0,260046848,507510784,0,0,0,0,264241152,264240400,263888896,1.91015625
02:46:24 PM,0,264241152,507510784,0,0,0,0,243268880,247463936,233926656,1.78328943252563
02:46:25 PM,0,255852544,511705088,0,0,0,0,255852544,247463936,265551872,1.95987462997437
02:46:26 PM,8,247463936,507510784,0,0,0,0,264241152,264241152,253231104,1.8359375
02:46:27 PM,0,260046848,507510784,0,0,0,0,260046848,255852544,245497856,1.8544921875
02:46:28 PM,0,264241152,511705088,0,0,0,0,251658240,247463936,256253952,1.96484375
02:46:29 PM,0,260046848,507510784,0,0,0,0,251658240,255852544,250482688,1.79405319690704
02:46:30 PM,0,243269632,503316480,0,0,0,0,260046848,255852544,244453376,1.89149367809296
02:46:31 PM,0,255852544,507510784,0,0,0,0,247463936,239075328,264241152,1.90070348978043
02:46:32 PM,0,264241152,507510784,0,0,0,0,251658240,264241152,231866368,1.78289026021957
02:46:33 PM,0,247463936,507510784,0,0,0,0,255851792,251657488,258871296,1.939453125
02:46:34 PM,0,243269632,503316480,0,0,0,0,260046848,239075328,252837888,1.796875
02:46:35 PM,0,264241152,507510784,0,0,0,0,239075328,264241152,239972352,1.8583984375
02:46:36 PM,0,264241152,503316480,0,0,0,0,260046848,251658240,262164480,1.9306640625
02:46:37 PM,0,247463936,507510784,0,0,0,0,260046848,243269632,246546432,1.7958984375
02:46:38 PM,0,247463936,507510784,0,0,0,0,264240400,264240400,248385536,1.896484375
02:46:39 PM,0,264241152,507510784,0,0,0,0,247463936,243269632,262537216,1.87345683574677
02:46:40 PM,0,268435456,507510784,0,0,0,0,255852544,255852544,239206400,1.84431660175324
02:46:41 PM,0,243269632,503316480,0,0,0,0,260046848,260046848,257425408,1.96875
02:46:42 PM,0,247463936,507510784,0,0,0,0,264240400,251657488,251793408,1.8056640625
02:46:43 PM,0,272629760,507510784,0,0,0,0,243548160,247742464,251527168,1.880859375
02:46:44 PM,0,255852544,507510784,0,0,0,0,255852544,264241152,260440064,1.8857421875
02:46:45 PM,0,247463936,507510784,0,0,0,0,264241152,243269632,237240320,1.83203125
02:46:46 PM,0,268435456,507510784,0,0,0,0,247463936,260046848,263196672,1.96875
02:46:47 PM,0,251658240,507510784,0,0,0,0,264241152,251658240,258338816,1.9580078125
02:46:48 PM,0,264241152,507510784,0,0,0,0,247463936,260046848,233316352,1.7138671875
02:46:49 PM,0,247463936,507510784,0,0,0,0,260042448,239070928,257429504,1.9521484375
02:46:50 PM,0,247463936,507510784,0,0,0,0,255852544,255852544,257163264,1.8232421875
02:46:51 PM,0,260046848,507510784,0,0,0,0,247463936,264241152,240648192,1.83203125
02:46:52 PM,0,264241152,507510784,0,0,0,0,268435456,264241152,265551872,1.96875
